AMBERIEU,AMBERIEU EN BUGEY
AMIENS SUD,AMIENS SUD (péage de Dury)
AUMAL N°12,AUMALE N°12
AUVOURS,AUVOURS (LE MANS ZI SUD)
BELLEVILLE S/SAONE,BELLEVILLE SUR SAONE
BELLEVILLE-SUR-SAONE,BELLEVILLE SUR SAONE
BOULOGNE EST (PEAGE D'HERQUELINGUE),BOULOGNE EST
BOURGES (LIM.CONC.),BOURGES
CHALONS - LA VEUVE,CHALONS LA VEUVE
CHALONS-EN-CHAMPAGNE / LA VEUVE,CHALONS - LA VEUVE
CHALONS/LA VEUVE,CHALONS - LA VEUVE
CHALONS / LA VEUVE (METZ),CHALONS - LA VEUVE
CHALONS / LA VEUVE (REIMS),CHALONS - LA VEUVE
CHALONS EN CHAMPAGNE / LA VEUVE,CHALONS LA VEUVE
CHALONS/MOURMELON,CHALONS MOURMELON
CHARMONT (LIM.CONC),CHARMONT
CHARMONT-S/BARBUISE,CHARMONT
CHARMONT S/BARBUISE,CHARMONT
CHARMONT-SOUS-BARBUISE,CHARMONT
CHARMONT SOUS BARBUISE,CHARMONT
CHAUMONT/SEMOUTIERS,CHAUMOpeNT-SEMOUTIERS
CLERMONT-BARRIERE,CLERMONT
CLERMONT BARRIERE,CLERMONT
CLERMONT-EN-ARGONNE,CLERMONT EN ARGONNE
DIJON ARC S/TILLE,DIJON ARC SUR TILLE
DIJON-ARC S/TILLE,DIJON ARC SUR TILLE
DIJON-ARC SUR TILLE,DIJON ARC SUR TILLE
DIJON/ARC-SUR-TILLE,DIJON ARC SUR TILLE
DIJON-CRIMOLOIS,CRIMOLOIS
DIJON CRIMOLOIS,CRIMOLOIS
ELOISE,ELOISE / ANNECY
FLEURY EN BIERE,FLEURY-EN-BIERE
FONTENAY /LOING,FONTENAY SUR LOING
FONTENAY-SUR-LOING,FONTENAY SUR LOING
FRESNES-EN-WOEVRE,FRESNES EN WOEVRE
FREYMING-MERLEBACH (A320),FREYMING-MERLEBACH
GERZAT-VILLE,GERZAT
GERZAT VILLE,GERZAT
GONDREVILLE A77/N,GONDREVILLE LA FRANCHE NORD
GONDREVILLE A77/S,GONDREVILLE LA FRANCHE SUD
JANVILLE (ALLAINES),ALLAINES
JARNY A4,JARNY
L ISLE-S/LE-DOUBS,L'ISLE SUR LE DOUBS
L ISLE S/LE DOUBS,L'ISLE SUR LE DOUBS
LA BOISSE - MONTLUEL,LA BOISSE
LA FOLIE-B/PARIS,PARIS (LA FOLIE BESSIN)
LAMOTTE BEUVRON,LAMOTTE-BEUVRON
METZ (péage de Beaumont),METZ BEAUMONT
BEAUMONT,METZ BEAUMONT
MEUNG SUR LOIRE,MEUNG
MONT-CHOISY,MONT CHOISY
MONTREUIL (REIMS),MONTREUIL REIMS
MONTREUIL AUX LIONS,BARRIERE DE MONTREUIL AUX LIONS
MONTREUIL-AUX-LIONS,BARRIERE DE MONTREUIL AUX LIONS
NEUFCHATEL EN BRAYE,NEUFCHATEL EN BRAY (A28)
NUITS-ST-GEORGES,NUITS-SAINT-GEORGES
ORLEANS-CENTRE,ORLEANS CENTRE
ORLEANS-NORD,ORLEANS NORD
POIX-DE-PICARDIE N°13 (A29),POIX DE PICARDIE N°13
PONT D AIN,PONT D'AIN
REIMS - TINQUEUX,REIMS OUEST THILLOIS
REIMS EST (TAISSY),REIMS TAISSY
REIMS OUEST(THILLOIS),REIMS OUEST THILLOIS
REIMS OUEST (THILLOIS),REIMS OUEST THILLOIS
REIMS SUD/EPERNAY,REIMS SUD
SAINT DENIS-LES-SENS,ST-DENIS-LES-SENS
SAINT-ETIENNE-AU-TEMPLE,SAINT ETIENNE AU TEMPLE
SAINT-GIBRIEN,SAINT GIBRIEN
SAINTE-MENEHOULD,SAINTE MENEHOULD
SAVIGNY /CLAIRIS,SAVIGNY SUR CLAIRIS
SAVIGNY-SUR-CLAIRIS,SAVIGNY SUR CLAIRIS
ST AMAND-MONTROND,SAINT AMAND
ST AMAND MONTROND,SAINT AMAND
ST ETIENNE AU TEMPLE,SAINT ETIENNE AU TEMPLE
ST GENIS,SAINT GENIS
ST GERMAIN LES VERGN,ST GERMAIN LES VERGNES
ST GERMAIN LES VERGNE,ST GERMAIN LES VERGNES
ST GERMAIN LES VERGNES,ST GERMAIN LES VERGNES
ST GIBRIEN,SAINT GIBRIEN
ST HILAIRE,SAINT HILAIRE LES ANDRESIS
ST JULIEN SANCY,ST JULIEN / SANCY
ST MARTIN-DU-FRESNE,SAINT MARTIN DU FRESNE
ST MARTIN DU FRESNE,SAINT MARTIN DU FRESNE
ST MENEHOULD,SAINTE MENEHOULD
ST-ETIENNE-AU-TEMPLE,SAINT ETIENNE AU TEMPLE
ST-GERMAIN-LAXIS,SAINT GERMAIN LAXIS
ST GERMAIN LAXIS,SAINT GERMAIN LAXIS
ST-GIBRIEN,SAINT GIBRIEN
STE MENEHOULD,SAINTE MENEHOULD
STE-MENEHOULD,SAINTE MENEHOULD
TIL-CHATEL,TIL CHATEL
TOURS-C/MONNAIE,TOURS CENTRE (MONNAIE)
VAL DE LOING BARRIERE,VAL DE LOING-BARRIERE
VAL DE LOING/SOUPPES,VAL DE LOING-SOUPPES
VIERZON-EST,VIERZON EST
VIERZON-NORD,VIERZON NORD
VILLE SOUS LA FERTE,VILLE SOUS LAFERTE
VILLE-SOUS-LA-FERTE,VILLE SOUS LAFERTE
VILLEFRANCHE S/ CHER,VILLEFRANCHE SUR CHER
VILLEFRANCHE-NORD,VILLEFRANCHE NORD
VULCANIA BROMONT,VULCANIA-BROMONT
PEAGE DU BIGNON,LE BIGNON
STE HERMINE,SAINT HERMINE
SAINT-HERMINE,SAINT HERMINE
FONTENAY LE COMTE,FONTENAY CENTRE
BEAULIEU-SUR-LAYON,PEAGE DE BEAULIEU SUD LAYON
BEAULIEU,PEAGE DE BEAULIEU SUD LAYON
PEAGE DE LA ROCHE-SUR-YON,LA ROCHE SUR YON
TOURS CENTRE,TOURS CENTRE (SORIGNY)
LE MANS NORD,LE MANS ZI NORD
LE MANS OUEST,LE MANS CENTRE UNIVERSITE
AGDE PEZENAS,AGDE
PEAGES D'ARLES,ARLES
ST DENIS LES SENS,SAINT DENIS LES SENS
NUITS SAINT GEORGES,NUITS ST GEORGES
SAINT-ARNOULT,PARIS (LA FOLIE BESSIN)
SEICHES-SUR-LE-LOIR,SEICHES
BROGLIE OUEST,ORBEC
SORTIE 9 YERVILLE,YERVILLE
ST MARTIN BELLEVUE A41 N,ST MARTIN BELLEVUE A41
