null	ST AMAND-MONTROND	26.8	16.1
null	FORET DE TRONCAIS	24.2	14.7
null	MONTLUCON	23.9	14.5
null	MONTMARAULT	21.8	12.8
null	GANNAT	19.9	11.7
null	COMBRONDE	18.0	10.8
null	RIOM	18.6	11.1
null	GERZAT-VILLE	19.1	11.3
null	CLERMONT-BARRIERE	20.5	12.2
null	FLEURY-EN-BIERE	71.2	40.4
null	URY	69.7	39.5
null	FONTAINEBLEAU	68.9	39.0
null	NEMOURS	68.9	39.0
null	COURTENAY	65.6	37.1
null	JOIGNY	67.1	37.9
null	AUXERRE NORD	69.8	39.4
null	AUXERRE SUD	69.8	39.4
null	NITRY	71.7	40.7
null	AVALLON	73.4	42.1
null	BIERRE-LES-SEMUR	75.4	43.0
null	POUILLY-EN-AUXOIS	78.7	44.8
null	BEAUNE SUD	82.4	47.2
null	CHALON NORD	84.7	48.4
null	CHALON SUD	84.7	48.4
null	TOURNUS	86.1	49.5
null	MACON NORD	88.7	50.9
null	MACON SUD	89.6	51.4
null	BELLEVILLE S/SAONE	91.1	52.2
null	VILLEFRANCHE-VILLE	92.5	53.4
null	VILLEFRANCHE-LIMAS	95.7	54.9
null	NUITS-ST-GEORGES	83.2	47.7
null	DIJON SUD	84.9	48.5
null	DIJON-CRIMOLOIS	85.5	49.2
null	L ISLE-S/LE-DOUBS	94.2	54.3
null	BEAUNE NORD	81.2	46.6
null	SOIRANS	85.9	49.6
null	BESANCON EST	90.1	52.0
null	SAINT MAURICE	98.4	57.1
null	BAUME-LES-DAMES	92.7	53.6
null	BESANCON NORD	90.1	51.6
null	BESANCON OUEST	90.1	51.5
null	GENDREY	87.7	50.6
null	DOLE	86.7	49.7
null	CHOISEY	86.7	49.7
null	SEURRE	84.4	48.3
null	FEILLENS	88.8	51.3
null	REPLONGES	88.8	51.3
null	BOURG NORD	91.3	52.6
null	VIRIAT	91.4	53.2
null	BOURG SUD	92.4	53.8
null	ST MARTIN-DU-FRESNE	96.8	56.3
null	SYLANS	97.4	56.6
null	SAINT GENIS	92.9	53.5
null	BEYNOST	98.3	57.1
null	BALAN	96.0	55.5
null	PEROUGES	96.0	55.5
null	LA BOISSE	99.7	57.9
null	AMBERIEU	95.1	54.9
null	PONT D AIN	93.7	54.4
null	LA CROIX-CHALON	97.0	56.3
null	DIJON-ARC S/TILLE	86.3	49.5
null	TIL CHATEL	83.7	47.8
null	LANGRES SUD	81.4	46.6
null	LANGRES NORD	80.7	46.0
null	MONTIGNY-LE-ROI	82.3	47.0
null	GROISSIAT	98.7	57.3
null	BULGNEVILLE	85.3	48.6
null	CHATENOIS	85.6	49.2
null	COLOMBEY-LES-BELLES	88.2	50.3
null	GYE	90.3	51.4
null	CHAUMONT-SEMOUTIERS	78.7	44.8
null	VILLE SOUS LAFERTE	77.1	43.9
null	MAGNANT	75.7	43.0
null	SAINT THIBAULT	73.2	41.9
null	TORVILLIERS	72.7	41.5
null	VULAINES	70.7	39.8
null	MAROLLES-SUR-SEINE	70.5	39.7
null	FORGES	70.5	39.7
null	CHATILLON-LABORDE	72.7	41.5
null	ST-GERMAIN-LAXIS	72.7	41.5
null	LES EPRUNES	73.7	42.3
null	VILLENEUVE-DONDAGRE	66.6	37.7
null	THENNELIERES	74.4	42.6
null	ST-DENIS-LES-SENS	67.7	38.3
null	VILLEFRANCHE-NORD	92.0	53.1
null	ARLAY	89.9	51.5
null	BERSAILLIN	89.7	51.4
null	BEAUREPAIRE	91.0	52.2
null	LE MIROIR	92.0	53.0
null	BEAUPONT	92.9	53.8
null	VAL DE SAONE	95.4	54.7
null	LA BOISSE - MONTLUEL	97.5	56.5
null	LA COTIERE	98.2	57.0
null	ROBECOURT	83.8	48.0
null	BELLEGARDE	1.6	58.8
null	ELOISE	2.9	59.7
null	VIRY	6.9	62.3
null	DEUX CHAISES	22.1	13.0
null	ST AMAND-MONTROND	25.0	14.6
null	FORET DE TRONCAIS	22.4	13.2
null	MONTLUCON	22.1	13.0
null	MONTMARAULT	20.0	11.3
null	GANNAT	18.1	10.2
null	COMBRONDE	16.2	9.3
null	RIOM	16.8	9.6
null	GERZAT-VILLE	17.3	9.8
null	CLERMONT-BARRIERE	18.7	10.7
null	FLEURY-EN-BIERE	69.4	38.9
null	URY	67.9	38.0
null	FONTAINEBLEAU	67.1	37.5
null	NEMOURS	67.1	37.5
null	COURTENAY	63.8	35.6
null	JOIGNY	65.3	36.4
null	AUXERRE NORD	68.0	37.9
