Code entrée	Gare d'entrée	Code Sortie	Gare de sortie	Distance	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
3007	AIGUEBELETTE	3010	AIX NORD	24,00	3,20	4,90	6,80	9,20	1,50
3007	AIGUEBELETTE	3009	AIX SUD	17,00	2,70	4,10	5,70	7,60	1,10
3007	AIGUEBELETTE	3014	ALLONZIER	62,00	7,80	11,40	16,30	21,60	4,00
3007	AIGUEBELETTE	3012	ANNECY CENTRE	50,00	6,30	9,50	13,70	18,30	3,20
3007	AIGUEBELETTE	3013	ANNECY NORD	55,00	6,60	10,20	14,40	19,90	3,20
3007	AIGUEBELETTE	3004	BOURGOIN	41,00	4,90	7,20	10,30	13,30	2,20
3007	AIGUEBELETTE	3008	CHAMBERY NORD	10,00	1,50	2,40	3,60	4,80	0,80
3007	AIGUEBELETTE	3091	CHATUZANGE BARRIERE	143,00	15,50	24,20	34,80	45,80	8,30
3007	AIGUEBELETTE	3003	ISLE D'ABEAU CENTRE	47,00	5,50	8,60	12,60	16,20	2,60
3007	AIGUEBELETTE	3092	LA BAUME D'HOSTUN	127,00	13,00	20,30	29,70	39,40	6,60
3007	AIGUEBELETTE	3005	LA TOUR DU PIN	32,00	3,70	5,90	8,10	10,80	1,70
3007	AIGUEBELETTE	3006	LES ABRETS	17,00	1,90	3,30	4,50	5,70	1,00
3007	AIGUEBELETTE	3083	MOIRANS NORD	77,00	8,00	12,00	17,50	23,10	3,90
3007	AIGUEBELETTE	3085	RIVES	62,00	6,30	9,80	13,80	18,20	3,10
3007	AIGUEBELETTE	3011	RUMILLY	37,00	5,00	7,30	10,60	13,80	2,10
3007	AIGUEBELETTE	3061	SAINT GENIX SUR GUIERS	13,00	1,50	2,30	3,90	5,40	0,70
3007	AIGUEBELETTE	3093	SAINT MARCELLIN	114,00	11,50	18,20	26,30	34,50	5,80
3007	AIGUEBELETTE	3020	SEYNOD SUD	44,00	5,50	8,70	12,20	16,10	2,70
3007	AIGUEBELETTE	15018	ST MARTIN BELLEVUE A41 N	81,00	14,90	24,40	35,70	45,50	7,90
3007	AIGUEBELETTE	3015	ST MARTIN BELLEVUE A410	87,00	10,60	16,10	22,80	31,00	5,30
3007	AIGUEBELETTE	3001	ST QUENTIN FAL. BARRIERE	78,00	9,90	14,70	21,00	28,00	4,80
