Gare d'entrée	Gare de sortie	Distance	Catégorie 1	Catégorie 2	Catégorie 3	Catégorie 4	Catégorie 5
ALLAINES	DEUX CHAISES	261,00	27,80	44,90	70,00	93,50	17,10
ALLAINVILLE	DEUX CHAISES	289,60	31,70	50,60	78,00	104,50	18,80
AMBERIEU	DEUX CHAISES	687,01	79,00	121,40	194,60	261,20	45,20
AMBOISE CH.RENAULT	DEUX CHAISES	306,80	31,20	50,30	77,90	107,10	19,30
ARLAY	DEUX CHAISES	627,52	73,30	113,30	183,50	244,80	41,50
ARTENAY	DEUX CHAISES	247,60	25,80	41,80	65,40	87,70	15,80
AUXERRE NORD	DEUX CHAISES	385,02	51,70	78,90	128,40	169,20	28,40
AUXERRE SUD	DEUX CHAISES	396,72	51,70	78,90	128,40	169,20	28,40
AUXY	DEUX CHAISES	293,90	35,00	53,60	87,40	115,50	19,60
AVALLON	DEUX CHAISES	440,82	55,70	85,40	139,10	184,60	31,30
BALAN	DEUX CHAISES	711,04	79,90	123,40	197,40	264,40	45,80
BAUME-LES-DAMES	DEUX CHAISES	667,52	76,40	118,00	189,70	254,70	43,70
BEAUMONT	DEUX CHAISES	688,01	80,40	122,50	197,40	261,10	45,10
BEAUNE NORD	DEUX CHAISES	532,47	64,00	98,80	159,50	211,70	36,20
BEAUNE SUD	DEUX CHAISES	538,22	65,30	100,30	162,00	215,80	36,80
BEAUPONT	DEUX CHAISES	671,22	76,60	118,40	191,20	256,10	44,00
BEAUREPAIRE	DEUX CHAISES	642,92	74,50	115,00	185,60	249,20	42,20
BELLEGARDE	DEUX CHAISES	722,70	85,90	132,90	212,70	286,10	49,40
BELLEVILLE S/SAONE	DEUX CHAISES	643,92	74,60	114,90	184,20	246,80	42,20
BERSAILLIN	DEUX CHAISES	622,93	73,10	111,90	182,00	243,20	41,40
BESANCON EST	DEUX CHAISES	648,44	73,60	114,40	184,40	247,50	42,00
BESANCON NORD	DEUX CHAISES	633,82	73,60	113,30	182,80	244,60	41,60
BESANCON OUEST	DEUX CHAISES	624,42	73,60	112,70	182,30	243,50	41,50
BEYNOST	DEUX CHAISES	725,20	82,40	127,40	203,40	273,30	47,60
BIERRE-LES-SEMUR	DEUX CHAISES	466,72	57,80	88,10	143,60	190,80	32,30
BLERE	DEUX CHAISES	237,30	23,60	37,80	60,10	80,10	14,20
BLOIS	DEUX CHAISES	277,10	29,50	45,90	73,90	96,40	18,00
BOURG NORD	DEUX CHAISES	644,81	74,80	115,40	184,40	247,50	42,60
BOURG SUD	DEUX CHAISES	665,24	76,10	117,70	188,50	252,60	44,00
BOURGES (LIM.CONC.)	DEUX CHAISES	115,90	10,30	16,00	25,60	36,10	6,10
BULGNEVILLE	DEUX CHAISES	598,27	68,30	104,90	168,60	226,30	38,40
CHALON NORD	DEUX CHAISES	560,32	67,70	104,30	166,90	223,00	38,10
CHALON SUD	DEUX CHAISES	566,52	67,70	104,30	166,90	223,00	38,10
CHALONS LA VEUVE	DEUX CHAISES	543,21	66,80	101,70	166,40	218,70	37,40
CHALONS MOURMELON	DEUX CHAISES	551,61	66,40	102,10	166,80	221,40	37,60
CHARMONT (LIM.CONC)	DEUX CHAISES	464,71	58,90	90,20	146,40	194,60	32,80
CHATEAU-THIERRY	DEUX CHAISES	622,91	75,60	114,50	184,70	246,10	42,50
CHATENOIS	DEUX CHAISES	608,42	68,80	105,60	170,30	228,20	39,00
CHATILLON-LABORDE	DEUX CHAISES	421,64	54,80	84,00	136,10	180,40	30,60
CHAUMONT-SEMOUTIERS	DEUX CHAISES	515,89	61,30	94,00	152,60	203,40	34,30
CHEMERY	DEUX CHAISES	196,70	18,60	29,40	45,70	64,40	11,40
CHOISEY	DEUX CHAISES	589,63	69,90	107,60	173,60	232,10	39,50
CLERMONT EN ARGONNE	DEUX CHAISES	602,41	70,30	108,40	174,80	231,40	40,00
CLERMONT-BARRIERE	DEUX CHAISES	87,56	7,50	11,60	18,40	24,60	4,50
COLOMBEY-LES-BELLES	DEUX CHAISES	637,12	71,50	109,50	176,60	237,60	40,10
COMBRONDE	DEUX CHAISES	50,57	4,30	6,60	10,40	15,00	2,50
COURTENAY	DEUX CHAISES	342,71	47,20	72,00	117,70	154,60	25,90
DEUX CHAISES	ALLAINES	261,00	27,80	44,90	70,00	93,50	17,10
DEUX CHAISES	ALLAINVILLE	289,60	31,70	50,60	78,00	104,50	18,80
DEUX CHAISES	AMBERIEU	687,01	79,00	121,40	194,60	261,20	45,20
DEUX CHAISES	AMBOISE CH.RENAULT	306,80	31,20	50,30	77,90	107,10	19,30
