Gare d'entrée	Gare de sortie	Distance	Catégorie 1	Catégorie 2	Catégorie 3	Catégorie 4	Catégorie 5
AMBERIEU	ARLAY	101,49	10,40	16,20	25,60	34,50	6,30
AMBERIEU	AUXERRE NORD	301,99	27,60	43,20	67,10	91,30	16,80
AMBERIEU	AUXERRE SUD	290,29	27,60	43,20	67,10	91,30	16,80
AMBERIEU	AVALLON	246,19	22,30	35,50	55,00	74,50	13,30
AMBERIEU	BALAN	24,03	1,80	3,00	4,30	6,20	0,90
AMBERIEU	BAUME-LES-DAMES	231,69	21,50	33,50	52,80	73,40	12,70
AMBERIEU	BEAUNE NORD	154,54	13,90	22,50	34,40	47,10	8,50
AMBERIEU	BEAUNE SUD	148,79	13,20	21,70	33,30	45,70	8,00
AMBERIEU	BEAUPONT	57,79	6,20	9,90	14,60	20,20	3,70
AMBERIEU	BEAUREPAIRE	86,09	8,60	13,50	21,70	29,20	5,40
AMBERIEU	BERSAILLIN	115,49	11,30	17,90	27,40	37,80	6,80
AMBERIEU	BESANCON EST	212,61	19,30	30,40	47,50	65,60	11,40
AMBERIEU	BESANCON NORD	197,99	19,30	29,90	47,00	65,50	11,30
AMBERIEU	BESANCON OUEST	188,59	18,90	29,40	45,90	63,60	11,10
AMBERIEU	BEYNOST	38,19	4,10	6,10	8,90	12,50	2,10
AMBERIEU	BIERRE-LES-SEMUR	220,29	19,50	31,40	47,80	65,80	11,80
AMBERIEU	BOURG NORD	42,20	4,60	6,90	10,70	14,50	2,50
AMBERIEU	BOURG SUD	21,77	2,70	4,30	6,60	8,80	1,40
AMBERIEU	BULGNEVILLE	310,49	28,10	41,50	71,50	98,40	16,70
AMBERIEU	CHALON NORD	126,69	11,60	18,30	27,50	37,20	6,80
AMBERIEU	CHALON SUD	120,49	11,60	18,30	27,50	37,20	6,80
AMBERIEU	CHATENOIS	320,64	28,20	41,90	73,00	101,10	17,10
AMBERIEU	CHATILLON-LABORDE	424,40	38,50	61,40	95,20	130,90	23,40
AMBERIEU	CHAUMONT-SEMOUTIERS	267,77	25,50	36,30	64,30	88,00	15,30
AMBERIEU	CHOISEY	139,38	14,30	22,40	34,50	47,50	8,50
AMBERIEU	COLOMBEY-LES-BELLES	349,34	31,90	46,40	80,40	111,60	18,80
AMBERIEU	COURTENAY	344,72	32,40	50,90	77,90	106,70	19,60
AMBERIEU	DIJON SUD	183,29	15,80	26,50	40,70	55,70	10,30
AMBERIEU	DIJON-ARC S/TILLE	181,90	17,30	24,30	44,40	61,20	10,50
AMBERIEU	DIJON-CRIMOLOIS	179,79	17,20	26,20	42,40	57,40	10,40
