Autoroute entrée	Péage entrée	Ville entrée	Autoroute sortie	Péage sortie	Ville sortie	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
A28	18	ALENCON NORD	A88	16	SEES	6,10	10,20	14,40	19,30	3,60
A28	18	ALENCON NORD	A11	12	SEICHES	13,30	20,60	30,00	41,00	7,80
A28	18	ALENCON NORD	A28	20	SILLE LE GUILLAUME / MAMERS	1,20	2,20	2,80	4,40	0,80
A28	18	ALENCON NORD	A81	1	SILLE LE GUILLAUME / SABLE	7,30	12,60	21,00	28,60	4,70
A28	18	ALENCON NORD	A28	-	TOURS CENTRE (SAINT CHRISTOPHE)	14,70	23,00	35,90	48,00	9,20
A28	18	ALENCON NORD	A81	-	VITRE (LA GRAVELLE)	14,90	24,70	38,10	52,00	9,50
A28	19	ALENCON SUD	A11	1	ABLIS	20,90	32,80	52,10	71,00	12,70
A28	19	ALENCON SUD	A28	18	ALENCON NORD	0,50	1,00	1,40	2,00	0,40
A28	19	ALENCON SUD	A11	-	ANGERS (CORZE)	15,30	23,30	34,20	44,10	9,20
A28	19	ALENCON SUD	A88	-	ARGENTAN	10,70	18,90	27,50	36,40	6,30
A28	19	ALENCON SUD	A28	23	AUVOURS (LE MANS ZI SUD)	4,60	7,80	11,00	14,60	3,00
A28	19	ALENCON SUD	A85	1	BEAUFORT EN VALLEE	14,60	22,90	31,60	42,70	9,10
A28	19	ALENCON SUD	A28	21	BEAUMONT SUR SARTHE	1,70	2,40	3,50	5,10	1,00
A28	19	ALENCON SUD	A28	14	BERNAY	19,90	32,40	48,10	66,00	12,20
A28	19	ALENCON SUD	A85	5	BOURGUEIL	19,20	29,10	42,40	56,40	11,90
A28	19	ALENCON SUD	A28	13	BRIONNE	24,50	40,00	56,40	76,20	15,50
A28	19	ALENCON SUD	A11	4	BROU	11,90	18,60	32,90	41,40	7,10
A28	19	ALENCON SUD	A11	2	CHARTRES EST	17,70	28,90	45,50	58,60	10,70
A28	19	ALENCON SUD	A11	3	CHARTRES-THIVARS	16,20	25,90	40,00	52,30	10,10
A28	19	ALENCON SUD	A28	26	CHATEAU DU LOIR (MONTABON)	9,00	11,90	20,90	22,90	5,30
A28	19	ALENCON SUD	A11	6	CONNERRE	7,10	11,20	16,50	21,80	4,10
A28	19	ALENCON SUD	A11	11	DURTAL	10,20	15,80	23,40	31,30	6,30
A28	19	ALENCON SUD	A28	25	ECOMMOY	6,90	10,40	17,00	19,10	4,30
A28	19	ALENCON SUD	A81	2	EVRON	10,10	16,10	25,60	33,60	6,20
A28	19	ALENCON SUD	A28	16	GACE	10,60	17,60	24,30	33,00	6,70
A28	19	ALENCON SUD	A11	3.1	ILLIERS COMBRAY	14,50	22,20	37,50	49,10	8,70
A28	19	ALENCON SUD	A11	5	LA FERTE BERNARD	8,40	14,80	22,80	30,50	5,20
A28	19	ALENCON SUD	A81	3	LAVAL EST	12,20	19,10	30,40	39,70	7,50
A28	19	ALENCON SUD	A81	4	LAVAL OUEST	13,10	20,20	33,30	42,10	8,20
A28	19	ALENCON SUD	A11	8	LE MANS CENTRE UNIVERSITE	5,10	7,90	11,40	16,10	3,30
A28	19	ALENCON SUD	A11	9	LE MANS SUD	6,10	9,60	13,90	19,60	3,90
A28	19	ALENCON SUD	A11	7	LE MANS ZI NORD	3,80	6,30	8,40	12,10	2,20
A28	19	ALENCON SUD	A85	2	LONGUE-JUMELLES	15,60	24,10	34,30	45,70	9,70
A28	19	ALENCON SUD	A28	15	ORBEC	15,20	25,30	36,40	49,50	9,60
A28	19	ALENCON SUD	A28	24	PARIGNE-L'EVEQUE	4,80	8,10	11,90	14,80	3,50
A28	19	ALENCON SUD	A10	-	PARIS (LA FOLIE BESSIN)	24,70	38,60	60,80	79,90	15,10
A28	19	ALENCON SUD	A85	-	RESTIGNE	22,80	34,60	49,90	67,60	14,00
A28	19	ALENCON SUD	A28	-	ROUMOIS	32,90	52,90	73,80	102,20	19,60
A28	19	ALENCON SUD	A11	10	SABLE-LA FLECHE	9,20	13,90	20,40	28,50	5,50
A28	19	ALENCON SUD	A85	3	SAUMUR (VIVY)	17,00	26,50	38,80	51,40	10,70
A28	19	ALENCON SUD	A88	16	SEES	6,70	11,30	15,90	21,40	4,10
A28	19	ALENCON SUD	A11	12	SEICHES	12,90	19,50	27,80	37,40	7,70
A28	19	ALENCON SUD	A28	20	SILLE LE GUILLAUME / MAMERS	0,70	1,00	1,80	2,00	0,50
A28	19	ALENCON SUD	A81	1	SILLE LE GUILLAUME / SABLE	7,10	12,30	19,90	25,50	4,50
A28	19	ALENCON SUD	A28	-	TOURS CENTRE (SAINT CHRISTOPHE)	14,20	21,90	35,40	41,40	8,80
A28	19	ALENCON SUD	A81	-	VITRE (LA GRAVELLE)	14,70	24,10	36,10	49,60	9,10
A10	11	ALLAINVILLE	A42	8	AMBERIEU EN BUGEY	59,20	91,00	146,80	194,30	33,40
A10	11	ALLAINVILLE	A39	7.1	ARLAY	53,50	82,90	135,70	177,90	29,70
A10	11	ALLAINVILLE	A10	13	ARTENAY	3,80	6,40	11,70	13,40	2,70
A10	11	ALLAINVILLE	A6	19	AUXERRE NORD	31,90	48,50	80,60	102,30	16,60
A10	11	ALLAINVILLE	A6	20	AUXERRE SUD	31,90	48,50	80,60	102,30	16,60
A10	11	ALLAINVILLE	A19	6	AUXY	15,20	23,20	39,60	48,60	7,80
A10	11	ALLAINVILLE	A6	22	AVALLON	35,90	55,00	91,30	117,70	19,50
A10	11	ALLAINVILLE	A42	6	BALAN	60,10	93,00	149,60	197,50	34,00
A10	11	ALLAINVILLE	A4	-	BARRIERE DE MONTREUIL AUX LIONS	60,50	90,80	146,90	191,00	33,50
A10	11	ALLAINVILLE	A36	5	BAUME-LES-DAMES	56,60	87,60	141,90	187,80	31,90
A10	11	ALLAINVILLE	A4	-	BEAUMONT	60,60	92,10	149,60	194,20	33,30
A10	11	ALLAINVILLE	A6	24	BEAUNE NORD	44,20	68,40	111,70	144,80	24,40
A10	11	ALLAINVILLE	A6	24.1	BEAUNE SUD	45,50	69,90	114,20	148,90	25,00
