Gare d'entrée	Gare de sortie	Distance	Catégorie 1	Catégorie 2	Catégorie 3	Catégorie 4	Catégorie 5
ALLAINES	AMBERIEU	462,61	49,8	74,9	119,9	160,6	27,8
ALLAINES	ARLAY	403,12	44,8	67,5	109,9	146	24,6
ALLAINES	AUXERRE NORD	160,62	25,5	37	60,8	79	12,8
ALLAINES	AUXERRE SUD	172,32	25,5	37	60,8	79	12,8
ALLAINES	AVALLON	216,42	29	42,7	70,4	92,6	15,5
ALLAINES	BALAN	486,64	50,7	76,5	122,3	163,6	28,4
ALLAINES	BAUME-LES-DAMES	443,12	47,6	71,8	115,5	154,9	26,6
ALLAINES	BEAUNE NORD	308,07	36,5	54,6	88,5	116,7	19,8
ALLAINES	BEAUNE SUD	313,82	37,6	56	90,7	120,3	20,4
ALLAINES	BEAUPONT	446,82	47,8	72,1	116,9	156,1	26,7
ALLAINES	BEAUREPAIRE	418,52	45,9	69,1	111,8	150	25,3
ALLAINES	BELLEVILLE S/SAONE	419,52	46	69	110,5	147,8	25,3
ALLAINES	BERSAILLIN	398,53	44,6	66,4	108,6	144,6	24,5
ALLAINES	BESANCON EST	424,04	45	68,5	110,7	148,5	25,1
ALLAINES	BESANCON NORD	409,42	45	67,5	109,3	145,9	24,7
ALLAINES	BESANCON OUEST	400,02	45	67,1	108,8	144,9	24,6
ALLAINES	BEYNOST	500,8	52,9	80,1	127,7	171,5	29,9
ALLAINES	BIERRE-LES-SEMUR	242,32	30,8	45,1	74,4	98,1	16,3
ALLAINES	BOURG NORD	420,41	46,2	69,4	110,7	148,5	25,7
ALLAINES	BOURG SUD	440,84	47,3	71,5	114,4	153	26,7
ALLAINES	BULGNEVILLE	373,87	40,4	60	96,7	129,6	21,8
ALLAINES	CHALON NORD	335,92	39,8	59,4	95,1	126,7	21,6
ALLAINES	CHALON SUD	342,12	39,8	59,4	95,1	127	21,6
ALLAINES	CHATENOIS	384,02	40,7	60,7	98,1	131,3	22,3
ALLAINES	CHATILLON-LABORDE	197,24	28,3	41,5	67,6	88,9	14,9
ALLAINES	CHAUMONT-SEMOUTIERS	291,49	34	50,3	82,3	109,3	18,1
ALLAINES	CHOISEY	365,23	41,8	62,5	101,1	134,8	22,8
ALLAINES	CLERMONT-BARRIERE	334,58	32,4	51	80,3	107,8	19,5
ALLAINES	COLOMBEY-LES-BELLES	412,72	43,2	64,2	103,8	139,8	23,4
ALLAINES	COMBRONDE	297,36	28,1	44	69,8	93,1	17,1
ALLAINES	COURTENAY	118,31	21,4	30,8	51,3	65,9	10,6
ALLAINES	DIJON SUD	343,72	40	59,8	96,3	128,1	21,7
ALLAINES	DIJON-ARC S/TILLE	358,88	41,4	62	99,7	132,7	22,6
ALLAINES	DIJON-CRIMOLOIS	391,22	40,6	60,4	98,5	130,4	22,3
ALLAINES	DOLE	367,42	41,8	62,5	101,1	134,8	22,8
ALLAINES	FEILLENS	395,5	43,8	66,3	106,6	142,5	24,4
ALLAINES	FLEURY-EN-BIERE	184,74	26,8	39,4	64,3	83,6	13,8
ALLAINES	FONTAINEBLEAU	159,31	24,6	35,6	59	75,9	12,3
ALLAINES	FORET DE TRONCAIS	215,75	21,1	34,2	53,1	70,2	13,3
ALLAINES	FORGES	179,97	26,1	37,8	62	81,2	13,1
ALLAINES	GANNAT	295,37	27,9	43,9	68,9	92,5	17
ALLAINES	GENDREY	384	42,8	64,2	104,2	139,5	23,7
ALLAINES	GERZAT-VILLE	316,22	29,3	46,7	72,5	96,2	18,1
ALLAINES	GROISSIAT	491,87	53,3	80,6	129,5	173,8	30,1
ALLAINES	GYE	426,33	45,2	67	107,7	144,5	24,5
ALLAINES	JOIGNY	134,82	22,8	32,9	54,4	70,2	11,4
ALLAINES	L ISLE-S/LE-DOUBS	460,42	48,9	73,7	118,5	158,9	27,2
ALLAINES	LA BOISSE	512,45	54,2	82,1	131,3	176,3	30,7
ALLAINES	LA BOISSE - MONTLUEL	490,92	52,2	78,4	123,4	165,1	29,3
ALLAINES	LA COTIERE	496,88	52,8	79,4	127,1	169	29,8
ALLAINES	LA CROIX-CHALON	477,27	51,7	78,2	125,8	168,8	29,1
ALLAINES	LANGRES NORD	317,82	36	52,8	85	113,7	19,2
ALLAINES	LANGRES SUD	324,47	36,6	54,1	87,3	116,1	19,8
ALLAINES	LE MIROIR	433,66	46,9	70,4	114	152,1	26,1
ALLAINES	LES EPRUNES	220,84	29,3	43,4	71,1	93,9	15,7
ALLAINES	MACON NORD	387,92	43,7	65,6	104,8	140	24
ALLAINES	MACON SUD	398,25	44,5	66,9	107	142,8	24,5
ALLAINES	MAGNANT	240,65	31,1	45,7	74,3	98,7	16,3
ALLAINES	MAROLLES-SUR-SEINE	172,45	26,1	37,8	62	81,2	13,1
ALLAINES	MONTIGNY-LE-ROI	337,92	37,5	55,1	89,5	119,7	20,2
ALLAINES	MONTLUCON	240,68	23,4	37,4	57,9	77,3	14,4
ALLAINES	MONTMARAULT	253,28	24,7	39,4	62	82,7	15,1
ALLAINES	NEMOURS	156,36	24,6	35,6	59	75,9	12,3
ALLAINES	NITRY	197,12	27,2	39,9	65,5	86,4	14,1
ALLAINES	NUITS-ST-GEORGES	326,22	38,3	57,4	93,1	123,5	20,9
ALLAINES	PEROUGES	480,07	50,7	76,5	122,3	163,6	28,4
ALLAINES	PONT D AIN	455,25	48,4	73,5	118,4	158,2	27,3
ALLAINES	POUILLY-EN-AUXOIS	271,42	34,1	50,8	82,2	109,6	18,1
ALLAINES	REPLONGES	398,77	43,8	66,3	106,6	142,5	24,4
ALLAINES	RIOM	310,2	29,2	46,6	72,2	96,1	17,9
ALLAINES	ROBECOURT	359,88	38,9	58,1	93,7	125,3	21,2
ALLAINES	SAINT GENIS	488,44	47,9	72,1	114,1	152,3	26,5
ALLAINES	SAINT MAURICE	500,42	53	80	129,5	174,4	29,9
ALLAINES	SAINT THIBAULT	214,42	28,8	42,2	69,6	91,7	15,3
ALLAINES	SEURRE	337,72	39,5	59,1	95	126,8	21,5
ALLAINES	SOIRANS	365,47	41	61,8	99,7	131,5	22,7
ALLAINES	ST AMAND-MONTROND	186,55	19	30,7	47,3	62,4	11,8
ALLAINES	ST MARTIN-DU-FRESNE	471,98	51,5	78,1	124,3	167,2	29,1
ALLAINES	ST-DENIS-LES-SENS	142,56	23,4	34,1	56	72,1	11,8
ALLAINES	ST-GERMAIN-LAXIS	204,5	28,3	41,5	67,6	88,9	14,9
ALLAINES	SYLANS	481,55	52,1	79	125,9	169,1	29,4
ALLAINES	THENNELIERES	226,52	29,9	44	71	93,5	15,9
ALLAINES	TIL CHATEL	354,52	38,8	57,1	93,5	125	21
ALLAINES	TORVILLIERS	198,34	28,3	41,5	67,9	89,2	14,9
ALLAINES	TOURNUS	362,42	41,2	61,7	99,2	131,8	22,6
ALLAINES	URY	168,19	25,3	36,6	60,3	77,8	12,8
ALLAINES	VAL DE SAONE	506,87	50,1	74,2	120,4	161,2	27,6
ALLAINES	VILLE SOUS LAFERTE	268,32	32,5	48	78,8	104,2	17,2
ALLAINES	VILLEFRANCHE-LIMAS	464,22	50,4	75,6	120,8	161,9	27,8
ALLAINES	VILLEFRANCHE-NORD	428,47	46,9	69,8	113,5	151,5	26,2
ALLAINES	VILLEFRANCHE-VILLE	433,77	47,4	71,3	114,2	152,5	26,4
ALLAINES	VILLENEUVE-DONDAGRE	129,55	22,3	32,3	53,4	69	11,2
ALLAINES	VIRIAT	430,44	46,3	69,5	111,3	149,4	26,2
ALLAINES	VULAINES	171,3	26,3	37,8	62	81,1	13,2
ALLAINVILLE	AMBERIEU	491,21	52,3	79,3	128,8	168,9	29,1
ALLAINVILLE	ARLAY	431,72	47,3	71,9	118,8	154,3	25,9
ALLAINVILLE	AUXERRE NORD	189,22	28	41,4	69,7	87,3	14,1
ALLAINVILLE	AUXERRE SUD	200,92	28	41,4	69,7	87,3	14,1
ALLAINVILLE	AVALLON	245,02	31,5	47,1	79,3	100,9	16,8
ALLAINVILLE	BALAN	515,24	53,2	80,9	131,2	171,9	29,7
ALLAINVILLE	BAUME-LES-DAMES	471,72	50,1	76,2	124,4	163,2	27,9
ALLAINVILLE	BEAUNE NORD	336,67	39	59	97,4	125	21,1
ALLAINVILLE	BEAUNE SUD	342,42	40,1	60,4	99,6	128,6	21,7
ALLAINVILLE	BEAUPONT	475,42	50,3	76,5	125,8	164,4	28
ALLAINVILLE	BEAUREPAIRE	447,12	48,4	73,5	120,7	158,3	26,6
ALLAINVILLE	BELLEVILLE S/SAONE	448,12	48,5	73,4	119,4	156,1	26,6
ALLAINVILLE	BERSAILLIN	427,13	47,1	70,8	117,5	152,9	25,8
ALLAINVILLE	BESANCON EST	452,64	47,5	72,9	119,6	156,8	26,4
ALLAINVILLE	BESANCON NORD	438,02	47,5	71,9	118,2	154,2	26
ALLAINVILLE	BESANCON OUEST	428,62	47,5	71,5	117,7	153,2	25,9
ALLAINVILLE	BEYNOST	529,4	55,4	84,5	136,6	179,8	31,2
ALLAINVILLE	BIERRE-LES-SEMUR	270,92	33,3	49,5	83,3	106,4	17,6
ALLAINVILLE	BOURG NORD	449,01	48,7	73,8	119,6	156,8	27
ALLAINVILLE	BOURG SUD	469,44	49,8	75,9	123,3	161,3	28
ALLAINVILLE	BULGNEVILLE	402,47	42,9	64,4	105,6	137,9	23,1
ALLAINVILLE	CHALON NORD	364,52	42,3	63,8	104	135	22,9
ALLAINVILLE	CHALON SUD	370,72	42,3	63,8	104	135,3	22,9
ALLAINVILLE	CHATENOIS	412,62	43,2	65,1	107	139,6	23,6
ALLAINVILLE	CHATILLON-LABORDE	225,84	30,8	45,9	76,5	97,2	16,2
ALLAINVILLE	CHAUMONT-SEMOUTIERS	320,09	36,5	54,7	91,2	117,6	19,4
