Autoroute entrée	Péage entrée	Ville entrée	Autoroute sortie	Péage sortie	Ville sortie	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
A10	10	DOURDAN	A10	10	PARIS (LA FOLIE BESSIN)	1,7	3,9	4,5	5,8	1
A10	10	PARIS (LA FOLIE BESSIN)	A10	10	DOURDAN	1,7	3,9	4,5	5,8	1
A10	11	ALLAINVILLE	A42	8	AMBERIEU EN BUGEY	52,3	79,3	128,8	168,9	29,1
A10	11	ALLAINVILLE	A39	7.1	ARLAY	47,3	71,9	118,8	154,3	25,9
A10	11	ALLAINVILLE	A10	13	ARTENAY	3,6	6	10,8	11,5	2,4
A10	11	ALLAINVILLE	A6	19	AUXERRE NORD	28	41,4	69,7	87,3	14,1
A10	11	ALLAINVILLE	A6	20	AUXERRE SUD	28	41,4	69,7	87,3	14,1
A10	11	ALLAINVILLE	A19	6	AUXY	12,9	19,6	34,6	40,8	6,7
A10	11	ALLAINVILLE	A6	22	AVALLON	31,5	47,1	79,3	100,9	16,8
A10	11	ALLAINVILLE	A42	6	BALAN	53,2	80,9	131,2	171,9	29,7
A10	11	ALLAINVILLE	A4	-	BARRIERE DE MONTREUIL AUX LIONS	53,4	79,1	129,2	166,6	29,2
A10	11	ALLAINVILLE	A36	5	BAUME-LES-DAMES	50,1	76,2	124,4	163,2	27,9
A10	11	ALLAINVILLE	A4	-	BEAUMONT	53,6	80,4	131,7	169,4	29,6
A10	11	ALLAINVILLE	A6	24	BEAUNE NORD	39	59	97,4	125	21,1
A10	11	ALLAINVILLE	A6	24.1	BEAUNE SUD	40,1	60,4	99,6	128,6	21,7
A10	11	ALLAINVILLE	A39	10	BEAUPONT	50,3	76,5	125,8	164,4	28
A10	11	ALLAINVILLE	A39	8	BEAUREPAIRE	48,4	73,5	120,7	158,3	26,6
A10	11	ALLAINVILLE	A40	10	BELLEGARDE	58,5	89,4	144,8	191	32,9
A10	11	ALLAINVILLE	A6	30	BELLEVILLE SUR SAONE	48,5	73,4	119,4	156,1	26,6
A10	11	ALLAINVILLE	A391	-	BERSAILLIN	47,1	70,8	117,5	152,9	25,8
A10	11	ALLAINVILLE	A36	4.1	BESANCON EST	47,5	72,9	119,6	156,8	26,4
