X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	54,6	52,9	52,1	49,2	46,3	44,1	41,3	38,7	36,4
AUXY	59	57,3	56,5	53,6	50,7	48,5	45,7	43,1	40,8
GONDREVILLE NORD	62,3	60,6	59,8	56,9	54	51,8	49	46,4	44,1
GONDREVILLE SUD	66,8	65,1	64,3	61,4	58,5	56,3	53,5	50,9	48,6
FONTENAY-SUR-LOING	62,9	61,2	60,4	57,5	54,6	52,4	49,6	47	44,7
ST-HILAIRE-LES-ANDRÉSIS	67,6	65,9	65,1	62,2	59,3	57,1	54,3	51,7	49,4
SAVIGNY-SUR-CLAIRIS	68,3	66,6	65,8	62,9	60	57,8	55	52,4	50,1
VILLENEUVE-DONDAGRE	72,7	71	70,2	67,3	64,4	62,2	59,4	56,8	54,5
ST-DENIS-LES-SENS	74	72,3	71,5	68,6	65,7	63,5	60,7	58,1	55,8
FLEURY EN BIERE	77,9	76,2	75,4	72,5	69,6	67,4	64,6	62	59,7
URY	76,1	74,4	73,6	70,7	67,8	65,6	62,8	60,2	57,9
FONTAINEBLEAU	75,3	73,6	72,8	69,9	67	64,8	62	59,4	57,1
NEMOURS	75,3	73,6	72,8	69,9	67	64,8	62	59,4	57,1
COURTENAY	71,6	69,9	69,1	66,2	63,3	61,1	58,3	55,7	53,4
JOIGNY	73,3	71,6	70,8	67,9	65	62,8	60	57,4	55,1
AUXERRE NORD	76,1	74,4	73,6	70,7	67,8	65,6	62,8	60,2	57,9
AUXERRE SUD	76,1	74,4	73,6	70,7	67,8	65,6	62,8	60,2	57,9
NITRY	78,3	76,6	75,8	72,9	70	67,8	65	62,4	60,1
AVALLON	80,2	78,5	77,7	74,8	71,9	69,7	66,9	64,3	62
BIERRE-LES-SEMUR	82,3	80,6	79,8	76,9	74	71,8	69	66,4	64,1
POUILLY-EN-AUXOIS	86	84,3	83,5	80,6	77,7	75,5	72,7	70,1	67,8
BEAUNE NORD	88,6	86,9	86,1	83,2	80,3	78,1	75,3	72,7	70,4
BEAUNE SUD	89,9	88,2	87,4	84,5	81,6	79,4	76,6	74	71,7
CHALON NORD	92,3	90,6	89,8	86,9	84	81,8	79	76,4	74,1
CHALON SUD	92,3	90,6	89,8	86,9	84	81,8	79	76,4	74,1
TOURNUS	92,3	90,6	89,8	86,9	84	81,8	79	76,4	74,1
MÂCON NORD	94	92,3	91,5	88,6	85,7	83,5	80,7	78,1	75,8
MÂCON SUD	96,8	95,1	94,3	91,4	88,5	86,3	83,5	80,9	78,6
BELLEVILLE-SUR-SAÔNE	97,7	96	95,2	92,3	89,4	87,2	84,4	81,8	79,5
VILLEFRANCHE NORD	99,3	97,6	96,8	93,9	91	88,8	86	83,4	81,1
VILLEFRANCHE VILLE	100,3	98,6	97,8	94,9	92	89,8	87	84,4	82,1
