X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	35,2	35,2	35,2	35,2	35,2	35,2	35,2	35,2	35,2	35,2	30,9	29	26,3	25,3	24,9	21,7	20,2	17,4	15,6	12	11,8	10,8	8,8	6,4	5,6	5,7	6,7	9,6	3,8	3,4
AGDE PEZENAS	37,8	37,8	37,8	37,8	37,8	37,8	37,8	37,8	37,8	37,8	33,4	31,8	28,7	27,6	27,3	24,2	22,5	19,7	18,2	14,4	14,3	13,2	11,3	8,8	8	8,2	9,3	12,1	6,2	5,7
PEAGE DE BEZIERS CABRIALS	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	34,6	33	30,3	28,7	28,4	25,5	23,9	21,1	19,6	16	15,9	14,4	12,9	10,2	9,6	9,8	10,4	13,2	7,3	7,1
BEZIERS OUEST	39,3	39,3	39,3	39,3	39,3	39,3	39,3	39,3	39,3	39,3	35,3	33,6	30,9	29,3	29	26,2	24,9	21,8	20,3	16,6	16,5	15,1	13,7	10,9	10,4	10,5	11	14,1	8,2	7,8
NARBONNE EST	43,3	43,3	43,3	43,3	43,3	43,3	43,3	43,3	43,3	43,3	39,1	37,4	34,6	33,4	33	29,9	28,4	25,6	24,1	20,2	20,1	19,2	17,4	14,6	14	14,1	14,8	17,9	11,9	11,5
NARBONNE SUD	43,5	43,5	43,5	43,5	43,5	43,5	43,5	43,5	43,5	43,5	39,3	37,6	34,8	33,6	33,2	30,1	28,6	25,8	24,3	20,4	20,3	19,4	17,6	14,8	14,2	14,3	15	18,1	12,1	11,7
SIGEAN	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	41,4	39,5	36,7	35,5	35,1	32,2	30,7	27,9	26,6	23	22,9	21,2	19,8	17	16,3	16,5	17,5	20,4	14,3	14,1
LEUCATE	46,1	46,1	46,1	46,1	46,1	46,1	46,1	46,1	46,1	46,1	42,5	40,8	38	36,3	35,9	33,5	32	28,9	27,5	23,6	23,5	22,6	20,8	18,4	17,6	17,8	18,5	21,5	15,4	15,1
PERPIGNAN NORD	50,5	50,5	50,5	50,5	50,5	50,5	50,5	50,5	50,5	50,5	46,5	44,8	42,2	40,7	40,3	37,6	36	32,9	31,3	27,6	27,5	26,5	24,9	22,3	21,6	21,8	22,3	25,5	19,5	19,2
PERPIGNAN SUD	50,7	50,7	50,7	50,7	50,7	50,7	50,7	50,7	50,7	50,7	46,7	45	42,4	40,9	40,5	37,8	36,2	33,1	31,5	27,8	27,7	26,7	25,1	22,5	21,8	22	22,5	25,8	19,7	19,4
LE BOULOU	54	54	54	54	54	54	54	54	54	54	49,5	48	45,2	43,8	43,4	40,5	38,7	35,9	34,5	30,6	30,5	29,5	28,1	25,6	24,4	24,5	25,5	28,7	22,4	22
PEAGE DU PERTHUS	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	52,5	50,8	48,1	46,1	45,7	43,4	41,2	38,5	37,2	32,9	32,7	31,8	30,4	28,1	27,4	27,6	28,2	31,3	25,3	24,9
FRONTIERE ESPAGNOLE	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	52,5	50,8	48,1	46,1	45,7	43,4	41,2	38,5	37,2	32,9	32,7	31,8	30,4	28,1	27,4	27,6	28,2	31,3	25,3	24,9
LEZIGNAN	45,4	45,4	45,4	45,4	45,4	45,4	45,4	45,4	45,4	45,4	41	39,8	37	35,6	35,2	32,2	30,5	27,9	26,5	22,9	22,8	21,5	20,1	17,3	16,6	16,7	17,4	20,3	14,4	14,1
CARCASSONNE EST	49,6	49,6	49,6	49,6	49,6	49,6	49,6	49,6	49,6	49,6	45	44,1	41,4	40	39,6	36,5	35,1	32,4	30,8	27,5	27,4	26,3	24,6	21,8	21,1	21,2	21,9	25,1	19,2	18,9
CARCASSONNE OUEST	49,8	49,8	49,8	49,8	49,8	49,8	49,8	49,8	49,8	49,8	45,3	44,4	41,7	40,2	39,8	36,8	35,3	32,6	31,1	27,8	27,7	26,6	25	22	21,4	21,5	22,1	25,3	19,5	19,2
BRAM	53,3	53,3	53,3	53,3	53,3	53,3	53,3	53,3	53,3	53,3	49,1	47,9	45,2	43,6	43,2	40,2	38,9	36,3	34,6	31,2	31	29,8	27,9	25,4	24,7	24,8	25,7	28	22,8	22,5
CASTELNAUDARY	53,5	53,5	53,5	53,5	53,5	53,5	53,5	53,5	53,5	53,5	49,4	48,3	45,6	44	43,6	40,4	39,1	36,4	35	31,4	31,2	30,2	28,9	26,2	25,4	25,6	26,5	28,7	23,4	23,3
VILLEFRANCHE DE LAURAGAIS	56,8	56,8	56,8	56,8	56,8	56,8	56,8	56,8	56,8	56,8	52,3	51,3	47,9	47,2	46,8	43,7	42,4	39,5	37,9	34,6	34,5	33,4	31,4	28,8	28,3	28,4	29,1	31,3	26,4	26
NAILLOUX	57,2	57,2	57,2	57,2	57,2	57,2	57,2	57,2	57,2	57,2	53	51,5	48,2	47,4	47	43,9	42,6	39,7	38,2	34,9	34,8	33,7	31,9	29,2	28,7	28,8	29,5	31,8	26,6	26,4
MAZERES SAVERDUN	57,4	57,4	57,4	57,4	57,4	57,4	57,4	57,4	57,4	57,4	53,3	51,7	48,4	47,6	47,2	44,1	42,8	39,9	38,5	35,1	35	33,9	32,1	29,7	29,1	29,2	29,7	32,2	27	26,7
PEAGE DE PAMIERS	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,5	51,9	48,9	47,8	47,4	44,3	43	40,3	38,7	35,6	35,5	34,1	32,3	30,1	29,5	29,6	30,3	32,6	27,9	27,4
PAMIERS NORD	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,5	51,9	48,9	47,8	47,4	44,3	43	40,3	38,7	35,6	35,5	34,1	32,3	30,1	29,5	29,6	30,3	32,6	27,9	27,4
