X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	29,6	29,6	29,6	29,6	29,6	29,6	29,6	29,6	29,6	29,6	25,7	25	22	21,1	21	18,2	16,5	14,9	12,8	10,8	10,2	9,2	7,4	5,4	4,8	4,9	5,6	8,1	3,2	2,8
AGDE PEZENAS	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	27,1	27	24	23	22,9	20,1	18,6	16,9	14,8	12,9	12,1	11,2	9,4	7,4	6,8	6,9	7,7	10	5,2	4,8
PEAGE DE BEZIERS CABRIALS	32	32	32	32	32	32	32	32	32	32	28,1	27,4	24,5	23,6	23,4	20,7	19,5	17,8	15,9	13,8	12,9	12	10,4	8,3	7,7	7,8	8,6	10,8	6,1	6
BEZIERS OUEST	33,8	33,8	33,8	33,8	33,8	33,8	33,8	33,8	33,8	33,8	29,1	29	26	25	24,9	22,1	20,5	18,7	16,8	14,7	14,1	13,2	11,4	9,5	8,9	8,8	9,6	12	7,2	6,9
NARBONNE EST	36,4	36,4	36,4	36,4	36,4	36,4	36,4	36,4	36,4	36,4	32,2	31,7	28,4	27,7	27,6	24,7	23,3	21,4	19,5	17,5	16,7	15,7	14,1	12	11,4	11,5	12,3	14,7	9,8	9,6
NARBONNE SUD	36,5	36,5	36,5	36,5	36,5	36,5	36,5	36,5	36,5	36,5	32,3	31,9	28,8	27,9	27,8	24,9	23,5	21,8	19,7	17,6	17	16	14,3	12,3	11,7	11,8	12,5	14,9	10	9,7
SIGEAN	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	34	33,3	30,4	29,5	29,3	26,6	25,4	23,7	21,9	19,7	19,1	17,9	16,4	14,2	13,6	13,7	14,5	17,1	12,2	12
LEUCATE	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	35	34,3	31,4	30,5	30,3	27,6	26,4	24,4	22,7	20,7	19,8	18,9	17,1	15,2	14,6	14,7	15,5	17,7	13	12,7
PERPIGNAN NORD	42,6	42,6	42,6	42,6	42,6	42,6	42,6	42,6	42,6	42,6	38,5	38	34,8	34,1	34	31,1	29,8	27,9	26	23,7	23,2	22,3	20,6	18,5	18,1	18	18,8	21,2	16,4	16,1
PERPIGNAN SUD	42,9	42,9	42,9	42,9	42,9	42,9	42,9	42,9	42,9	42,9	38,8	38,2	35,2	34,3	34,2	31,3	30	28,2	26,3	24	23,5	22,6	20,9	18,8	18,2	18,3	19,1	21,5	16,7	16,4
LE BOULOU	44,2	44,2	44,2	44,2	44,2	44,2	44,2	44,2	44,2	44,2	40,4	39,7	36,7	35,8	35,7	32,9	31,3	29,8	28	25,6	25	24	22,5	20,4	19,8	19,9	20,7	23,1	18,3	18
