X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	50,6	48,8	48,1	45,5	42,9	40,9	38,3	36,1	34
AUXY	54,3	52,5	51,8	49,2	46,6	44,6	42	39,8	37,7
GONDREVILLE NORD	56,8	55	54,3	51,7	49,1	47,1	44,5	42,3	40,2
GONDREVILLE SUD	60,9	59,1	58,4	55,8	53,2	51,2	48,6	46,4	44,3
FONTENAY-SUR-LOING	57,3	55,5	54,8	52,2	49,6	47,6	45	42,8	40,7
ST-HILAIRE-LES-ANDRÉSIS	62,2	60,4	59,7	57,1	54,5	52,5	49,9	47,7	45,6
SAVIGNY-SUR-CLAIRIS	62,9	61,1	60,4	57,8	55,2	53,2	50,6	48,4	46,3
VILLENEUVE-DONDAGRE	66,6	64,8	64,1	61,5	58,9	56,9	54,3	52,1	50
ST-DENIS-LES-SENS	67,7	65,9	65,2	62,6	60	58	55,4	53,2	51,1
FLEURY EN BIERE	71,2	69,4	68,7	66,1	63,5	61,5	58,9	56,7	54,6
URY	69,7	67,9	67,2	64,6	62	60	57,4	55,2	53,1
FONTAINEBLEAU	68,9	67,1	66,4	63,8	61,2	59,2	56,6	54,4	52,3
NEMOURS	68,9	67,1	66,4	63,8	61,2	59,2	56,6	54,4	52,3
COURTENAY	65,6	63,8	63,1	60,5	57,9	55,9	53,3	51,1	49
JOIGNY	67,1	65,3	64,6	62	59,4	57,4	54,8	52,6	50,5
AUXERRE NORD	69,8	68	67,3	64,7	62,1	60,1	57,5	55,3	53,2
AUXERRE SUD	69,8	68	67,3	64,7	62,1	60,1	57,5	55,3	53,2
NITRY	71,7	69,9	69,2	66,6	64	62	59,4	57,2	55,1
AVALLON	73,4	71,6	70,9	68,3	65,7	63,7	61,1	58,9	56,8
BIERRE-LES-SEMUR	75,4	73,6	72,9	70,3	67,7	65,7	63,1	60,9	58,8
POUILLY-EN-AUXOIS	78,7	76,9	76,2	73,6	71	69	66,4	64,2	62,1
BEAUNE NORD	81,2	79,4	78,7	76,1	73,5	71,5	68,9	66,7	64,6
BEAUNE SUD	82,4	80,6	79,9	77,3	74,7	72,7	70,1	67,9	65,8
CHALON NORD	84,7	82,9	82,2	79,6	77	75	72,4	70,2	68,1
CHALON SUD	84,7	82,9	82,2	79,6	77	75	72,4	70,2	68,1
TOURNUS	86,1	84,3	83,6	81	78,4	76,4	73,8	71,6	69,5
MÂCON NORD	88,7	86,9	86,2	83,6	81	79	76,4	74,2	72,1
MÂCON SUD	89,6	87,8	87,1	84,5	81,9	79,9	77,3	75,1	73
BELLEVILLE-SUR-SAÔNE	91,1	89,3	88,6	86	83,4	81,4	78,8	76,6	74,5
VILLEFRANCHE NORD	92	90,2	89,5	86,9	84,3	82,3	79,7	77,5	75,4
VILLEFRANCHE VILLE	92,5	90,7	90	87,4	84,8	82,8	80,2	78	75,9
VILLEFRANCHE LIMAS	95,7	93,9	93,2	90,6	88	86	83,4	81,2	79,1
VAL DE LOING/SOUPPES	70,5	68,7	68	65,4	62,8	60,8	58,2	56	53,9
VAL DE LOING BARRIERE	76,3	74,5	73,8	71,2	68,6	66,6	64	61,8	59,7
EMPRUNS	73,7	71,9	71,2	68,6	66	64	61,4	59,2	57,1
SAINT-GERMAIN LAXIS	72,7	70,9	70,2	67,6	65	63	60,4	58,2	56,1
CHATILLON-LABORDE	72,7	70,9	70,2	67,6	65	63	60,4	58,2	56,1
FORGES	70,5	68,7	68	65,4	62,8	60,8	58,2	56	53,9
MAROLLES-SUR-SEINE	70,5	68,7	68	65,4	62,8	60,8	58,2	56	53,9
VULAINES	70,7	68,9	68,2	65,6	63	61	58,4	56,2	54,1
TORVILLIERS	72,7	70,9	70,2	67,6	65	63	60,4	58,2	56,1
ST-THIBAULT	73,2	71,4	70,7	68,1	65,5	63,5	60,9	58,7	56,6
MAGNANT	75,7	73,9	73,2	70,6	68	66	63,4	61,2	59,1
VILLE-SOUS-LA-FERTÉ	77,1	75,3	74,6	72	69,4	67,4	64,8	62,6	60,5
CHAUMONT/SEMOUTIERS	78,7	76,9	76,2	73,6	71	69	66,4	64,2	62,1
THENNELIERES	74,4	72,6	71,9	69,3	66,7	64,7	62,1	59,9	57,8
CHARMONT-SOUS-BARBUISE	76,4	74,6	73,9	71,3	68,7	66,7	64,1	61,9	59,8
VALLÉE DE L’AUBE	77,5	75,7	75	72,4	69,8	67,8	65,2	63	60,9
SOMMESOUS	79,5	77,7	77	74,4	71,8	69,8	67,2	65	62,9
VATRY	80,1	78,3	77,6	75	72,4	70,4	67,8	65,6	63,5
MONT-CHOISY	81,4	79,6	78,9	76,3	73,7	71,7	69,1	66,9	64,8
ST-GIBRIEN	82,2	80,4	79,7	77,1	74,5	72,5	69,9	67,7	65,6
REIMS EST	86,9	85,1	84,4	81,8	79,2	77,2	74,6	72,4	70,3
REIMS SUD	86,7	84,9	84,2	81,6	79	77	74,4	72,2	70,1
REIMS OUEST	88	86,2	85,5	82,9	80,3	78,3	75,7	73,5	71,4
DORMANS	88,5	86,7	86	83,4	80,8	78,8	76,2	74	71,9
CHÂTEAU-THIERRY	89,4	87,6	86,9	84,3	81,7	79,7	77,1	74,9	72,8
MONTREUIL-REIMS	91,8	90	89,3	86,7	84,1	82,1	79,5	77,3	75,2
CHÂLONS/LA VEUVE	94,2	92,4	91,7	89,1	86,5	84,5	81,9	79,7	77,6
CHÂLONS/MOURMELON	96,2	94,4	93,7	91,1	88,5	86,5	83,9	81,7	79,6
ST-ETIENNE-AU-TEMPLE	83,4	81,6	80,9	78,3	75,7	73,7	71,1	68,9	66,8
