X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	29	29	29	29	29	29	29	29	29	29	25,1	24,4	21,5	20,6	20,4	17,7	16,5	14,5	12,4	10,8	9,9	9	7,2	5,3	4,7	4,8	5,6	7,8	3,1	2,8
AGDE PEZENAS	30,9	30,9	30,9	30,9	30,9	30,9	30,9	30,9	30,9	30,9	27	26,3	23,4	22,5	22,3	19,6	18,4	16,4	14,3	12,7	11,8	10,9	9,1	7,2	6,6	6,7	7,5	9,7	5	4,7
PEAGE DE BEZIERS CABRIALS	32	32	32	32	32	32	32	32	32	32	28,1	27,4	24,5	23,6	23,4	20,7	19,5	17,5	15,4	13,8	12,9	12	10,2	8,3	7,7	7,8	8,6	10,8	6,1	5,8
BEZIERS OUEST	32,9	32,9	32,9	32,9	32,9	32,9	32,9	32,9	32,9	32,9	29	28,3	25,4	24,5	24,3	21,6	20,4	18,4	16,3	14,7	13,8	12,9	11,1	9,2	8,6	8,7	9,5	11,7	7	6,7
NARBONNE EST	35,5	35,5	35,5	35,5	35,5	35,5	35,5	35,5	35,5	35,5	31,6	30,9	28	27,1	26,9	24,2	23	21	18,9	17,3	16,4	15,5	13,7	11,8	11,2	11,3	12,1	14,3	9,6	9,3
NARBONNE SUD	35,6	35,6	35,6	35,6	35,6	35,6	35,6	35,6	35,6	35,6	31,7	31	28,1	27,2	27	24,3	23,1	21,1	19	17,4	16,5	15,6	13,8	11,9	11,3	11,4	12,2	14,4	9,7	9,4
SIGEAN	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	34	33,3	30,4	29,5	29,3	26,6	25,4	23,4	21,3	19,7	18,8	17,9	16,1	14,2	13,6	13,7	14,5	16,7	12	11,7
LEUCATE	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	38,9	35	34,3	31,4	30,5	30,3	27,6	26,4	24,4	22,3	20,7	19,8	18,9	17,1	15,2	14,6	14,7	15,5	17,7	13	12,7
PERPIGNAN NORD	41,9	41,9	41,9	41,9	41,9	41,9	41,9	41,9	41,9	41,9	38	37,3	34,4	33,5	33,3	30,6	29,4	27,4	25,3	23,7	22,8	21,9	20,1	18,2	17,6	17,7	18,5	20,7	16	15,7
PERPIGNAN SUD	42,2	42,2	42,2	42,2	42,2	42,2	42,2	42,2	42,2	42,2	38,3	37,6	34,7	33,8	33,6	30,9	29,7	27,7	25,6	24	23,1	22,2	20,4	18,5	17,9	18	18,8	21	16,3	16
LE BOULOU	43,8	43,8	43,8	43,8	43,8	43,8	43,8	43,8	43,8	43,8	39,9	39,2	36,3	35,4	35,2	32,5	31,3	29,3	27,2	25,6	24,7	23,8	22	20,1	19,5	19,6	20,4	22,6	17,9	17,6
PEAGE DU PERTHUS	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	41,7	41	38,1	37,2	37	34,3	33,1	31,1	29	27,4	26,5	25,6	23,8	21,9	21,3	21,4	22,2	24,4	19,7	19,4
FRONTIERE ESPAGNOLE	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	41,7	41	38,1	37,2	37	34,3	33,1	31,1	29	27,4	26,5	25,6	23,8	21,9	21,3	21,4	22,2	24,4	19,7	19,4
LEZIGNAN	38,1	38,1	38,1	38,1	38,1	38,1	38,1	38,1	38,1	38,1	34,2	33,5	30,6	29,7	29,5	26,8	25,6	23,6	21,5	19,9	19	18,1	16,3	14,4	13,8	13,9	14,7	16,9	12,2	11,9
CARCASSONNE EST	41,7	41,7	41,7	41,7	41,7	41,7	41,7	41,7	41,7	41,7	37,8	37,1	34,2	33,3	33,1	30,4	29,2	27,2	25,1	23,5	22,6	21,7	19,9	18	17,4	17,5	18,3	20,5	15,8	15,5
CARCASSONNE OUEST	42,1	42,1	42,1	42,1	42,1	42,1	42,1	42,1	42,1	42,1	38,2	37,5	34,6	33,7	33,5	30,8	29,6	27,6	25,5	23,9	23	22,1	20,3	18,4	17,8	17,9	18,7	20,9	16,2	15,9
BRAM	44,3	44,3	44,3	44,3	44,3	44,3	44,3	44,3	44,3	44,3	40,4	39,7	36,8	35,9	35,7	33	31,8	29,8	27,7	26,1	25,2	24,3	22,5	20,6	20	20,1	20,9	23,1	18,4	18,1
CASTELNAUDARY	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	45,6	41,7	41	38,1	37,2	37	34,3	33,1	31,1	29	27,4	26,5	25,6	23,8	21,9	21,3	21,4	22,2	24,4	19,7	19,4
VILLEFRANCHE DE LAURAGAIS	47,5	47,5	47,5	47,5	47,5	47,5	47,5	47,5	47,5	47,5	43,6	42,9	40	39,1	38,9	36,2	35	33	30,9	29,3	28,4	27,5	25,7	23,8	23,2	23,3	24,1	26,3	21,6	21,3
NAILLOUX	47,7	47,7	47,7	47,7	47,7	47,7	47,7	47,7	47,7	47,7	43,8	43,1	40,2	39,3	39,1	36,4	35,2	33,2	31,1	29,5	28,6	27,7	25,9	24	23,4	23,5	24,3	26,5	21,8	21,5
MAZERES SAVERDUN	49,4	49,4	49,4	49,4	49,4	49,4	49,4	49,4	49,4	49,4	45,5	44,8	41,9	41	40,8	38,1	36,9	34,9	32,8	31,2	30,3	29,4	27,6	25,7	25,1	25,2	26	28,2	23,5	23,2
PEAGE DE PAMIERS	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	47,2	46,5	43,6	42,7	42,5	39,8	38,6	36,6	34,5	32,9	32	31,1	29,3	27,4	26,8	26,9	27,7	29,9	25,2	24,9
