X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	17,3	17,3	17,3	17,3	17,3	17,3	17,3	17,3	17,3	17,3	15	14,5	12,8	12,2	12,1	10,4	9,5	8,5	7,2	6,1	6,1	5,4	4,5	3	2,8	2,9	3,2	4,6	1,6	1,5
AGDE PEZENAS	18,7	18,7	18,7	18,7	18,7	18,7	18,7	18,7	18,7	18,7	16,4	15,9	14,2	13,6	13,5	11,8	10,9	9,9	8,6	7,5	7,5	6,8	5,9	4,4	4,2	4,3	4,6	6	3	2,9
PEAGE DE BEZIERS CABRIALS	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	17,2	16,7	15	14,4	14,3	12,6	11,7	10,7	9,4	8,3	8,3	7,6	6,7	5,2	5	5,1	5,4	6,8	3,8	3,7
BEZIERS OUEST	19,8	19,8	19,8	19,8	19,8	19,8	19,8	19,8	19,8	19,8	17,5	17	15,3	14,7	14,6	12,9	12	11	9,7	8,6	8,6	7,9	7	5,5	5,3	5,4	5,7	7,1	4,1	4
NARBONNE EST	21,4	21,4	21,4	21,4	21,4	21,4	21,4	21,4	21,4	21,4	19,1	18,6	16,9	16,3	16,2	14,5	13,6	12,6	11,3	10,2	10,2	9,5	8,6	7,1	6,9	7	7,3	8,7	5,7	5,6
NARBONNE SUD	21,5	21,5	21,5	21,5	21,5	21,5	21,5	21,5	21,5	21,5	19,2	18,7	17	16,4	16,3	14,6	13,7	12,7	11,4	10,3	10,3	9,6	8,7	7,2	7	7,1	7,4	8,8	5,8	5,7
SIGEAN	22,7	22,7	22,7	22,7	22,7	22,7	22,7	22,7	22,7	22,7	20,4	19,9	18,2	17,6	17,5	15,8	14,9	13,9	12,6	11,5	11,5	10,8	9,9	8,4	8,2	8,3	8,6	10	7	6,9
LEUCATE	23,1	23,1	23,1	23,1	23,1	23,1	23,1	23,1	23,1	23,1	20,8	20,3	18,6	18	17,9	16,2	15,3	14,3	13	11,9	11,9	11,2	10,3	8,8	8,6	8,7	9	10,4	7,4	7,3
PERPIGNAN NORD	25,1	25,1	25,1	25,1	25,1	25,1	25,1	25,1	25,1	25,1	22,8	22,3	20,6	20	19,9	18,2	17,3	16,3	15	13,9	13,9	13,2	12,3	10,8	10,6	10,7	11	12,4	9,4	9,3
PERPIGNAN SUD	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	22,9	22,4	20,7	20,1	20	18,3	17,4	16,4	15,1	14	14	13,3	12,4	10,9	10,7	10,8	11,1	12,5	9,5	9,4
LE BOULOU	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	23,6	23,1	21,4	20,8	20,7	19	18,1	17,1	15,8	14,7	14,7	14	13,1	11,6	11,4	11,5	11,8	13,2	10,2	10,1
PEAGE DU PERTHUS	27	27	27	27	27	27	27	27	27	27	24,7	24,2	22,5	21,9	21,8	20,1	19,2	18,2	16,9	15,8	15,8	15,1	14,2	12,7	12,5	12,6	12,9	14,3	11,3	11,2
FRONTIERE ESPAGNOLE	27	27	27	27	27	27	27	27	27	27	24,7	24,2	22,5	21,9	21,8	20,1	19,2	18,2	16,9	15,8	15,8	15,1	14,2	12,7	12,5	12,6	12,9	14,3	11,3	11,2
LEZIGNAN	22,8	22,8	22,8	22,8	22,8	22,8	22,8	22,8	22,8	22,8	20,5	20	18,3	17,7	17,6	15,9	15	14	12,7	11,6	11,6	10,9	10	8,5	8,3	8,4	8,7	10,1	7,1	7
CARCASSONNE EST	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	22,6	22,1	20,4	19,8	19,7	18	17,1	16,1	14,8	13,7	13,7	13	12,1	10,6	10,4	10,5	10,8	12,2	9,2	9,1
CARCASSONNE OUEST	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	22,9	22,4	20,7	20,1	20	18,3	17,4	16,4	15,1	14	14	13,3	12,4	10,9	10,7	10,8	11,1	12,5	9,5	9,4
BRAM	26,5	26,5	26,5	26,5	26,5	26,5	26,5	26,5	26,5	26,5	24,2	23,7	22	21,4	21,3	19,6	18,7	17,7	16,4	15,3	15,3	14,6	13,7	12,2	12	12,1	12,4	13,8	10,8	10,7
CASTELNAUDARY	27,2	27,2	27,2	27,2	27,2	27,2	27,2	27,2	27,2	27,2	24,9	24,4	22,7	22,1	22	20,3	19,4	18,4	17,1	16	16	15,3	14,4	12,9	12,7	12,8	13,1	14,5	11,5	11,4
VILLEFRANCHE DE LAURAGAIS	28,1	28,1	28,1	28,1	28,1	28,1	28,1	28,1	28,1	28,1	25,8	25,3	23,6	23	22,9	21,2	20,3	19,3	18	16,9	16,9	16,2	15,3	13,8	13,6	13,7	14	15,4	12,4	12,3
NAILLOUX	28,7	28,7	28,7	28,7	28,7	28,7	28,7	28,7	28,7	28,7	26,4	25,9	24,2	23,6	23,5	21,8	20,9	19,9	18,6	17,5	17,5	16,8	15,9	14,4	14,2	14,3	14,6	16	13	12,9
MAZERES SAVERDUN	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	27,5	27	25,3	24,7	24,6	22,9	22	21	19,7	18,6	18,6	17,9	17	15,5	15,3	15,4	15,7	17,1	14,1	14
PEAGE DE PAMIERS	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	28	27,5	25,8	25,2	25,1	23,4	22,5	21,5	20,2	19,1	19,1	18,4	17,5	16	15,8	15,9	16,2	17,6	14,6	14,5
PAMIERS NORD	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	28	27,5	25,8	25,2	25,1	23,4	22,5	21,5	20,2	19,1	19,1	18,4	17,5	16	15,8	15,9	16,2	17,6	14,6	14,5
PAMIERS SUD	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	30,3	28	27,5	25,8	25,2	25,1	23,4	22,5	21,5	20,2	19,1	19,1	18,4	17,5	16	15,8	15,9	16,2	17,6	14,6	14,5
MONTGISCARD	28,9	28,9	28,9	28,9	28,9	28,9	28,9	28,9	28,9	28,9	26,6	26,1	24,4	23,8	23,7	22	21,1	20,1	18,8	17,7	17,7	17	16,1	14,6	14,4	14,5	14,8	16,2	13,2	13,1
PEAGE DE TOULOUSE SUD/OUEST	30	30	30	30	30	30	30	30	30	30	27,7	27,2	25,5	24,9	24,8	23,1	22,2	21,2	19,9	18,8	18,8	18,1	17,2	15,7	15,5	15,6	15,9	17,3	14,3	14,2
LE PALAYS	30	30	30	30	30	30	30	30	30	30	27,7	27,2	25,5	24,9	24,8	23,1	22,2	21,2	19,9	18,8	18,8	18,1	17,2	15,7	15,5	15,6	15,9	17,3	14,3	14,2
PEAGE DE TOULOUSE SUD/EST	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	28,1	27,6	25,9	25,3	25,2	23,5	22,6	21,6	20,3	19,2	19,2	18,5	17,6	16,1	15,9	16	16,3	17,7	14,7	14,6
MONTAUDRAN	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	28,1	27,6	25,9	25,3	25,2	23,5	22,6	21,6	20,3	19,2	19,2	18,5	17,6	16,1	15,9	16	16,3	17,7	14,7	14,6
LASBORDES	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	28,1	27,6	25,9	25,3	25,2	23,5	22,6	21,6	20,3	19,2	19,2	18,5	17,6	16,1	15,9	16	16,3	17,7	14,7	14,6
SOUPETARD	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	28,1	27,6	25,9	25,3	25,2	23,5	22,6	21,6	20,3	19,2	19,2	18,5	17,6	16,1	15,9	16	16,3	17,7	14,7	14,6
LA ROSERAIE	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	28,1	27,6	25,9	25,3	25,2	23,5	22,6	21,6	20,3	19,2	19,2	18,5	17,6	16,1	15,9	16	16,3	17,7	14,7	14,6
