X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	2	24	22,5	21,3
AUXY	32,8	31,3	31	29,5	28	26,7	25,5	24	22,8
GONDREVILLE NORD	35,3	33,8	33,5	32	30,5	29,2	28	26,5	25,3
GONDREVILLE SUD	33,2	31,7	31,4	29,9	28,4	27,1	25,9	24,4	23,2
FONTENAY-SUR-LOING	35,4	33,9	33,6	32,1	30,6	29,3	28,1	26,6	25,4
ST-HILAIRE-LES-ANDRÉSIS	35,6	34,1	33,8	32,3	30,8	29,5	28,3	26,8	25,6
SAVIGNY-SUR-CLAIRIS	37,7	36,2	35,9	34,4	32,9	31,6	30,4	28,9	27,7
VILLENEUVE-DONDAGRE	38,3	36,8	36,5	35	33,5	32,2	31	29,5	28,3
ST-DENIS-LES-SENS	40,4	38,9	38,6	37,1	35,6	34,3	33,1	31,6	30,4
FLEURY EN BIERE	39,5	38	37,7	36,2	34,7	33,4	32,2	30,7	29,5
URY	39	37,5	37,2	35,7	34,2	32,9	31,7	30,2	29
FONTAINEBLEAU	39	37,5	37,2	35,7	34,2	32,9	31,7	30,2	29
NEMOURS	37,1	35,6	35,3	33,8	32,3	31	29,8	28,3	27,1
COURTENAY	37,9	36,4	36,1	34,6	33,1	31,8	30,6	29,1	27,9
JOIGNY	39,4	37,9	37,6	36,1	34,6	33,3	32,1	30,6	29,4
AUXERRE NORD	39,4	37,9	37,6	36,1	34,6	33,3	32,1	30,6	29,4
AUXERRE SUD	40,7	39,2	38,9	37,4	35,9	34,6	33,4	31,9	30,7
NITRY	42,1	40,6	40,3	38,8	37,3	36	34,8	33,3	32,1
AVALLON	43	41,5	41,2	39,7	38,2	36,9	35,7	34,2	33
BIERRE-LES-SEMUR	44,8	43,3	43	41,5	40	38,7	37,5	36	34,8
POUILLY-EN-AUXOIS	46,6	45,1	44,8	43,3	41,8	40,5	39,3	37,8	36,6
BEAUNE NORD	47,2	45,7	45,4	43,9	42,4	41,1	39,9	38,4	37,2
BEAUNE SUD	48,4	46,9	46,6	45,1	43,6	42,3	41,1	39,6	38,4
CHALON NORD	48,4	46,9	46,6	45,1	43,6	42,3	41,1	39,6	38,4
CHALON SUD	49,5	48	47,7	46,2	44,7	43,4	42,2	40,7	39,5
TOURNUS	50,9	49,4	49,1	47,6	46,1	44,8	43,6	42,1	40,9
MÂCON NORD	51,4	49,9	49,6	48,1	46,6	45,3	44,1	42,6	41,4
MÂCON SUD	52,2	50,7	50,4	48,9	47,4	46,1	44,9	43,4	42,2
BELLEVILLE-SUR-SAÔNE	53,1	51,6	51,3	49,8	48,3	47	45,8	44,3	43,1
VILLEFRANCHE NORD	53,4	51,9	51,6	50,1	48,6	47,3	46,1	44,6	43,4
VILLEFRANCHE VILLE	54,9	53,4	53,1	51,6	50,1	48,8	47,6	46,1	44,9
VILLEFRANCHE LIMAS	40,6	39,1	38,8	37,3	35,8	34,5	33,3	31,8	30,6
VAL DE LOING/SOUPPES	43,5	42	41,7	40,2	38,7	37,4	36,2	34,7	33,5
VAL DE LOING BARRIERE	42,3	40,8	40,5	39	37,5	36,2	35	33,5	32,3
EMPRUNS	41,5	40	39,7	38,2	36,7	35,4	34,2	32,7	31,5
SAINT-GERMAIN LAXIS	41,5	40	39,7	38,2	36,7	35,4	34,2	32,7	31,5
CHATILLON-LABORDE	39,7	38,2	37,9	36,4	34,9	33,6	32,4	30,9	29,7
FORGES	39,7	38,2	37,9	36,4	34,9	33,6	32,4	30,9	29,7
MAROLLES-SUR-SEINE	39,8	38,3	38	36,5	35	33,7	32,5	31	29,8
VULAINES	41,5	40	39,7	38,2	36,7	35,4	34,2	32,7	31,5
TORVILLIERS	41,9	40,4	40,1	38,6	37,1	35,8	34,6	33,1	31,9
ST-THIBAULT	43	41,5	41,2	39,7	38,2	36,9	35,7	34,2	33
MAGNANT	43,9	42,4	42,1	40,6	39,1	37,8	36,6	35,1	33,9
VILLE-SOUS-LA-FERTÉ	44,8	43,3	43	41,5	40	38,7	37,5	36	34,8
CHAUMONT/SEMOUTIERS	42,6	41,1	40,8	39,3	37,8	36,5	35,3	33,8	32,6
THENNELIERES	43,5	42	41,7	40,2	38,7	37,4	36,2	34,7	33,5
CHARMONT-SOUS-BARBUISE	44,3	42,8	42,5	41	39,5	38,2	37	35,5	34,3
VALLÉE DE L’AUBE	45,4	43,9	43,6	42,1	40,6	39,3	38,1	36,6	35,4
SOMMESOUS	45,6	44,1	43,8	42,3	40,8	39,5	38,3	36,8	35,6
VATRY	46,8	45,3	45	43,5	42	40,7	39,5	38	36,8
