X	BELLEGARDE	ELOISE ANNECY	VIRY
BELLEGARDE	0	1	3,8
ELOISE ANNECY	1	0	2,8
VIRY	3,8	2,8	0
BARRIERE DE MONTREUIL AUX LIONS	36,4	37,4	40,2
MONTREUIL AUX LIONS	34,8	35,8	38,6
CHATEAU THIERRY	33,6	34,6	37,4
DORMANS	32,3	33,3	36,1
REIMS OUEST THILLOIS	31,3	32,3	35,1
REIMS NORD (ORMES)	30,8	31,8	34,6
REIMS SUD	30,1	31,1	33,9
REIMS TAISSY	30,3	31,3	34,1
CHALONS LA VEUVE	28,5	29,5	32,3
SAINT ETIENNE AU TEMPLE	28,6	29,6	32,4
SAINTE MENEHOULD	30,1	31,1	33,9
CLERMONT EN ARGONNE	31	32	34,8
VOIE SACREE	32,1	33,1	35,9
VERDUN	33,5	34,5	37,3
FRESNES EN WOEVRE	33,5	34,5	37,3
JARNY	34,6	35,6	38,4
METZ BEAUMONT	36,1	37,1	39,9
SAINT GIBRIEN	27,9	28,9	31,7
MONT CHOISY	27,4	28,4	31,2
VATRY	26,1	27,1	29,9
SOMMESOUS	25,9	26,9	29,7
VALLEE DE L AUBE	24,6	25,6	28,4
CHARMONT	23,8	24,8	27,6
THENNELIERES	23,6	24,6	27,4
