X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	20,5	20,5	20,5	20,5	20,5	20,5	20,5	20,5	20,5	20,5	17,9	16,9	15,1	14,4	14,3	12,2	11,4	9,8	8,9	7,4	7,2	6,5	5,4	3,6	3,4	3,5	3,9	5,6	2,1	1,7
AGDE PEZENAS	22	22	22	22	22	22	22	22	22	22	19,3	18,6	16,7	16	15,9	13,8	12,9	11,3	10,4	8,9	8,7	8,2	7,2	5,4	5	5,2	5,6	7,4	3,7	3,6
PEAGE DE BEZIERS CABRIALS	23,1	23,1	23,1	23,1	23,1	23,1	23,1	23,1	23,1	23,1	20,7	19,7	18	16,9	16,8	15	14,2	12,5	11,7	9,8	9,7	9,2	8,1	6,5	6,2	6,3	6,6	8,4	4,6	4,3
BEZIERS OUEST	23,3	23,3	23,3	23,3	23,3	23,3	23,3	23,3	23,3	23,3	21	19,9	18,2	17,1	17	15,2	14,4	12,8	11,9	10	9,9	9,4	8,3	6,7	6,4	6,5	6,9	8,5	4,8	4,6
NARBONNE EST	25,1	25,1	25,1	25,1	25,1	25,1	25,1	25,1	25,1	25,1	22,8	21,7	20	19,3	19,2	17	16,2	14,6	13,7	12	11,8	11,2	10,1	8,6	8,3	8,4	8,8	10,4	7,1	6,8
NARBONNE SUD	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	22,9	21,8	20,1	19,4	19,3	17,1	16,3	14,7	13,8	12,1	11,9	11,4	10,2	8,7	8,4	8,5	8,9	10,5	7,2	7
SIGEAN	27	27	27	27	27	27	27	27	27	27	24,4	23,3	21,6	20,7	20,6	18,5	17,7	16,2	15,2	13,4	13,1	12,7	11,8	10	9,8	9,9	10,1	12	8,5	8,3
LEUCATE	27,2	27,2	27,2	27,2	27,2	27,2	27,2	27,2	27,2	27,2	25	23,8	22	21,2	21,1	19,2	18,3	16,7	15,8	13,8	13,6	13,3	12,1	10,4	10,1	10,2	10,6	12,3	9	8,8
PERPIGNAN NORD	29,7	29,7	29,7	29,7	29,7	29,7	29,7	29,7	29,7	29,7	27,3	26,1	24,4	23,4	23,3	21,6	20,6	19,1	17,9	16,2	15,9	15,6	14,5	12,8	12,5	12,6	12,9	14,7	11,1	10,9
PERPIGNAN SUD	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	27,4	26,3	24,6	23,6	23,4	21,7	20,7	19,2	18	16,3	16	15,7	14,6	12,9	12,6	12,7	13	14,8	11,2	11
LE BOULOU	30,9	30,9	30,9	30,9	30,9	30,9	30,9	30,9	30,9	30,9	28	27,3	25,5	24,7	24,6	22,7	21,5	20	19,2	17,3	17	16,7	15,5	13,8	13,6	13,7	14	15,7	12,3	11,9
PEAGE DU PERTHUS	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,7	29,6	27,9	26,9	26,6	25	23,9	22,3	21,4	19,3	19,1	18,7	17,7	16,1	15,7	15,8	16,1	17,6	14,4	14,1
FRONTIERE ESPAGNOLE	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,7	29,6	27,9	26,9	26,6	25	23,9	22,3	21,4	19,3	19,1	18,7	17,7	16,1	15,7	15,8	16,1	17,6	14,4	14,1
LEZIGNAN	26,9	26,9	26,9	26,9	26,9	26,9	26,9	26,9	26,9	26,9	24,5	23,4	21,6	20,9	20,8	18,7	17,8	16,3	15,3	13,5	13,2	12,8	11,8	10	9,7	9,9	10,2	12,1	8,7	8,3
CARCASSONNE EST	29,4	29,4	29,4	29,4	29,4	29,4	29,4	29,4	29,4	29,4	26,8	25,7	24,1	23,2	23,1	21,1	20,4	18,8	17,7	15,8	15,7	15,3	14,3	12,7	12,3	12,4	12,7	14,4	11	10,8
CARCASSONNE OUEST	29,6	29,6	29,6	29,6	29,6	29,6	29,6	29,6	29,6	29,6	27	26	24,3	23,4	23,3	21,3	20,6	19,2	17,9	16	15,9	15,6	14,5	12,9	12,5	12,6	12,9	14,7	11,4	11
BRAM	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	28,7	27,9	26,2	25,4	25,3	23,1	22,3	20,7	19,9	18	17,7	17,2	16,1	14,7	14,3	14,5	14,6	16,4	13,1	12,7
CASTELNAUDARY	32,1	32,1	32,1	32,1	32,1	32,1	32,1	32,1	32,1	32,1	29,3	28,5	26,8	25,9	25,7	23,7	22,7	21,3	20,5	18,6	18,3	17,8	16,8	15,1	14,8	15	15,3	17	13,5	13,3
VILLEFRANCHE DE LAURAGAIS	33,3	33,3	33,3	33,3	33,3	33,3	33,3	33,3	33,3	33,3	30,6	29,9	27,7	26,9	26,7	25	24,3	22,5	21,5	19,4	19,3	19,2	18,1	16,4	16	16,1	16,6	18,4	14,8	14,5
NAILLOUX	33,5	33,5	33,5	33,5	33,5	33,5	33,5	33,5	33,5	33,5	30,9	30,1	28	27,1	26,9	25,2	24,5	22,7	21,7	20	19,6	19,4	18,3	16,8	16,4	16,5	17	18,6	15,1	14,8
