X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	17,2	17,2	17,2	17,2	17,2	17,2	17,2	17,2	17,2	17,2	14,8	14,5	12,6	12,1	12	10,2	9,5	8,4	7,1	6,1	6	5,3	4,4	3	2,8	2,9	3,2	4,5	1,6	1,5
AGDE PEZENAS	18,5	18,5	18,5	18,5	18,5	18,5	18,5	18,5	18,5	18,5	16,1	15,8	13,9	13,4	13,3	11,5	10,8	9,7	8,4	7,4	7,3	6,6	5,7	4,3	4,1	4,2	4,5	5,8	2,9	2,8
PEAGE DE BEZIERS CABRIALS	19,3	19,3	19,3	19,3	19,3	19,3	19,3	19,3	19,3	19,3	16,9	16,6	14,7	14,2	14,1	12,3	11,6	10,5	9,2	8,2	8,1	7,4	6,5	5,1	4,9	5	5,3	6,6	3,7	3,6
BEZIERS OUEST	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	17,2	16,9	15	14,5	14,4	12,6	11,9	10,8	9,5	8,5	8,4	7,7	6,8	5,4	5,2	5,3	5,6	6,9	4	3,9
NARBONNE EST	21,2	21,2	21,2	21,2	21,2	21,2	21,2	21,2	21,2	21,2	18,8	18,5	16,6	16,1	16	14,2	13,5	12,4	11,1	10,1	10	9,3	8,4	7	6,8	6,9	7,2	8,5	5,6	5,5
NARBONNE SUD	21,3	21,3	21,3	21,3	21,3	21,3	21,3	21,3	21,3	21,3	18,9	18,6	16,7	16,2	16,1	14,3	13,6	12,5	11,2	10,2	10,1	9,4	8,5	7,1	6,9	7	7,3	8,6	5,7	5,6
SIGEAN	22,4	22,4	22,4	22,4	22,4	22,4	22,4	22,4	22,4	22,4	20	19,7	17,8	17,3	17,2	15,4	14,7	13,6	12,3	11,3	11,2	10,5	9,6	8,2	8	8,1	8,4	9,7	6,8	6,7
LEUCATE	22,9	22,9	22,9	22,9	22,9	22,9	22,9	22,9	22,9	22,9	20,5	20,2	18,3	17,8	17,7	15,9	15,2	14,1	12,8	11,8	11,7	11	10,1	8,7	8,5	8,6	8,9	10,2	7,3	7,2
PERPIGNAN NORD	24,8	24,8	24,8	24,8	24,8	24,8	24,8	24,8	24,8	24,8	22,4	22,1	20,2	19,7	19,6	17,8	17,1	16	14,7	13,7	13,6	12,9	12	10,6	10,4	10,5	10,8	12,1	9,2	9,1
PERPIGNAN SUD	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	22,5	22,2	20,3	19,8	19,7	17,9	17,2	16,1	14,8	13,8	13,7	13	12,1	10,7	10,5	10,6	10,9	12,2	9,3	9,2
LE BOULOU	25,6	25,6	25,6	25,6	25,6	25,6	25,6	25,6	25,6	25,6	23,2	22,9	21	20,5	20,4	18,6	17,9	16,8	15,5	14,5	14,4	13,7	12,8	11,4	11,2	11,3	11,6	12,9	10	9,9
PEAGE DU PERTHUS	26,8	26,8	26,8	26,8	26,8	26,8	26,8	26,8	26,8	26,8	24,4	24,1	22,2	21,7	21,6	19,8	19,1	18	16,7	15,7	15,6	14,9	14	12,6	12,4	12,5	12,8	14,1	11,2	11,1
