La Fouillouse
5	Andrézieux-Bouthéon sud
14	Andrézieux-Bouthéon nord
12	Péage de Veauchette
13	Montbrison Montrond
11	Feurs Lentilly
10	Tour de Salvagny
4	Lentilly
3	Pont de Dorieux
2	L’Arbresle
1	Tarare est(péage en systEme ouvert)
11	BARRIERE DE PEAGE DE SAINT-ROMAIN-DE-POPEY
12	Tarare est(péage en systEme fermé)
13	Tarare ouest
13.1	Balbigny
14	Saint-Germain-Laval
15	Noirétable
16	Thiers est
17	Thiers ouest
18	Lezoux
12.1	BARRIERE DE PEAGE DE MARTRES-D'ARTIERE
A	Clermont-Ferrand
7	Pont du Château
