VENDARGUES
0	MONTPELLIER EST
0	0	MONTPELLIER SUD
0	0	0	MONTPELLIER OUEST
0	0	0	0	SAINT-JEAN-DE-VEDAS
0	0	0	0	0	PEAGE DE MONTPELLIER SAINT-JEAN
0,9	0,9	0,9	0,9	0,9	0,9	SETE
2,4	2,4	2,4	2,4	2,4	2,4	1,2	AGDE PEZENAS
3,2	3,2	3,2	3,2	3,2	3,2	2,1	0,7	PEAGE DE BEZIERS-CABRIALS
3,7	3,7	3,7	3,7	3,7	3,7	2,4	0,9	0,4	BEZIERS OUEST
5,6	5,6	5,6	5,6	5,6	5,6	4	2,3	1,5	1,2	NARBONNE EST
5,8	5,8	5,8	5,8	5,8	5,8	4,2	2,5	1,6	1,3	0,3	NARBONNE SUD
7,4	7,4	7,4	7,4	7,4	7,4	5,8	4	3	2,4	1	0,9	SIGEAN
7,9	7,9	7,9	7,9	7,9	7,9	6,3	4,7	4,1	2,9	1,6	1,4	0,5	LEUCATE
10,1	10,1	10,1	10,1	10,1	10,1	8,1	6,6	5,8	5,1	3,5	3,1	1,9	1,2	PERPIGNAN NORD
10,2	10,2	10,2	10,2	10,2	10,2	8,3	6,8	6	5,3	3,8	3,5	2,2	1,8	0,6	PERPIGNAN SUD
11	11	11	11	11	11	10,3	8,5	7,6	6,7	5,9	5,1	3,7	3,6	1,5	1	LE BOULOU
12,6	12,6	12,6	12,6	12,6	12,6	10,8	9,5	8,7	7,9	6,7	6	4,8	4,1	2,1	1,8	0	PEAGE DU PERTHUS
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LE BOULOU (OUVERT)
12,6	12,6	12,6	12,6	12,6	12,6	10,8	9,5	8,7	7,9	6,7	6	4,8	4,1	2,1	1,8	0	0	0,5	FRONTIERE ESPAGNOLE
7,5	7,5	7,5	7,5	7,5	7,5	5,8	4	3	2,5	1,5	1,1	1,8	2,3	4,7	4,9	6,2	7,3	0	7,3	LEZIGNAN
10	10	10	10	10	10	8	6,6	5,6	5,1	4	2,9	4,5	4,8	6,7	7	9	10	0	10	1,5	CARCASSONNE EST
10,2	10,2	10,2	10,2	10,2	10,2	8,2	6,8	5,8	5,3	4,2	3,5	4,8	5	6,9	7,2	9,3	10,2	0	10,2	2,1	0,5	CARCASSONNE OUEST
11,8	11,8	11,8	11,8	11,8	11,8	10	8,5	7,2	6,9	5,9	5,1	6,4	6,6	8,6	8,8	10,5	11,7	0	11,7	3,5	1,4	0,9	BRAM
12,6	12,6	12,6	12,6	12,6	12,6	10,4	9,2	8,2	7,6	6,4	5,5	6,5	7,3	9,6	9,8	10,7	12,2	0	12,2	4,1	2,3	1,8	0,8	CASTELNAUDARY
13,8	13,8	13,8	13,8	13,8	13,8	12,3	10,6	9,7	9	8,6	7,5	8,6	9,1	10,8	11	12,5	13,8	0	13,8	5,9	3,9	3,5	2	1,3	VILLEFRANCHE-DE-LAURAGAIS
14	14	14	14	14	14	12,6	11,2	10,1	9,2	8,8	7,9	9	9,2	11,2	11,4	12,7	14,1	0	14,1	6,2	4,6	4,2	2,8	2	0,5	NAILOUX
14,2	14,2	14,2	14,2	14,2	14,2	12,9	11,7	11	10,2	9,1	8,2	9,2	9,5	11,5	11,7	13,1	14,4	0	14,4	6,8	5,3	4,9	3,9	3,3	1,7	1	MAZERES-SAVERDUN
14,5	14,5	14,5	14,5	14,5	14,5	13,2	12	11,1	10,6	9,3	8,8	9,5	10,2	11,7	12	13,4	14,9	0	14,9	7,4	5,6	5,2	4,4	3,8	2,8	2	0,6	PEAGE DE PAMIERS
14,5	14,5	14,5	14,5	14,5	14,5	13,2	12	11,1	10,6	9,3	8,8	9,5	10,2	11,7	12	13,4	14,9	0	14,9	7,4	5,6	5,2	4,4	3,8	2,8	2	0,6	0	PAMIERS NORD
14,5	14,5	14,5	14,5	14,5	14,5	13,2	12	11,1	10,6	9,3	8,8	9,5	10,2	11,7	12	13,4	14,9	0	14,9	7,4	5,6	5,2	4,4	3,8	2,8	2	0,6	0	0	PAMIERS SUD
14	14	14	14	14	14	12,6	10,9	10,2	9,5	8,8	8	9	9,2	11,2	11,4	13,1	14,5	0	14,5	6,1	4,3	4,1	2,6	1,9	0,5	0,5	1,6	2,8	2,8	2,8	MONTGISCARD
15,6	15,6	15,6	15,6	15,6	15,6	14	12,6	11,8	11,2	10,1	9	10,1	10,9	12,8	13	14,8	16,1	0	16,1	7,9	5,8	5,4	4	3,1	1,3	1,2	2,3	3,8	3,8	3,8	0,7	PEAGE DE TOULOUSE SUD/OUEST
15,6	15,6	15,6	15,6	15,6	15,6	14	12,6	11,8	11,2	10,1	9	10,1	10,9	12,8	13	14,8	16,1	0	16,1	7,9	5,8	5,4	4	3,1	1,3	1,2	2,3	3,8	3,8	3,8	0,7	0	LE PALAYS
16	16	16	16	16	16	14,4	13	12,2	11,6	10,5	9,4	10,5	11,3	13,2	13,4	15,2	16,5	0	16,5	8,3	6,2	5,8	4,4	3,4	1,5	1,4	2,7	4,2	4,2	4,2	0,9	0	0	PEAGE DE TOULOUSE SUD/EST
16	16	16	16	16	16	14,4	13	12,2	11,6	10,5	9,4	10,5	11,3	13,2	13,4	15,2	16,5	0	16,5	8,3	6,2	5,8	4,4	3,4	1,5	1,4	2,7	4,2	4,2	4,2	0,9	0	0	0	MONTAUBAN
16	16	16	16	16	16	14,4	13	12,2	11,6	10,5	9,4	10,5	11,3	13,2	13,4	15,2	16,5	0	16,5	8,3	6,2	5,8	4,4	3,4	1,5	1,4	2,7	4,2	4,2	4,2	0,9	0	0	0	0	LASBORDES
16	16	16	16	16	16	14,4	13	12,2	11,6	10,5	9,4	10,5	11,3	13,2	13,4	15,2	16,5	0	16,5	8,3	6,2	5,8	4,4	3,4	1,5	1,4	2,7	4,2	4,2	4,2	0,9	0	0	0	0	0	SOUPETARD
16	16	16	16	16	16	14,4	13	12,2	11,6	10,5	9,4	10,5	11,3	13,2	13,4	15,2	16,5	0	16,5	8,3	6,2	5,8	4,4	3,4	1,5	1,4	2,7	4,2	4,2	4,2	0,9	0	0	0	0	0	0	LA ROSERAIE
16	16	16	16	16	16	14,4	13	12,2	11,6	10,5	9,4	10,5	11,3	13,2	13,4	15,2	16,5	0	16,5	8,3	6,2	5,8	4,4	3,4	1,5	1,4	2,7	4,2	4,2	4,2	0,9	0	0	0	0	0	0	0	LA CROIX DAURADE
16	16	16	16	16	16	14,4	13	12,2	11,6	10,5	9,4	10,5	11,3	13,2	13,4	15,2	16,5	0	16,5	8,3	6,2	5,8	4,4	3,4	1,5	1,4	2,7	4,2	4,2	4,2	0,9	0	0	0	0	0	0	0	0	BORDEROUGE
